ObservedAt:	2006-08-21T03:22:52
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.08          459.12          2.9447          2.5631          2.7539          663.04      2089829.57      2191344.73      2223262.13
          546.99          493.78          2.4986          2.3200          2.4093          654.48       864803.52       885006.35       893374.23
          462.61          523.01          2.4402          2.2944          2.3673          659.11       825872.49       855194.59       865085.39
          230.55          347.42          2.7303          2.6210          2.6757          654.93       704382.16       737074.24       749101.33
          112.28          420.18          3.0985          2.8383          2.9684          654.63       707538.39       749394.16       764635.58
          152.84          615.06          2.8734          2.6872          2.7803          662.48       650175.63       676421.47       685826.43
          957.99          389.36          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          500.11          375.99          2.4218          2.4669          2.4443          657.87       572041.97       586753.42       592416.86
          550.17          571.65          2.3810          2.3007          2.3409          657.56       525001.27       537496.30       542551.04
          369.36          409.01          2.4751          2.5194          2.4973          658.22       501122.67       516085.19       522033.10
          579.78          819.34          2.4289          2.6094          2.5191          656.54       451708.87       473563.55       481412.27
          479.31          571.95          2.4288          2.2589          2.3439          655.87       447019.13       456361.00       460598.96
          336.32          573.78          2.5016          2.5537          2.5277          662.22       426278.78       443604.76       449887.65
          586.21           96.64          2.8011          3.0969          2.9490          675.83       395254.08       426187.41       437705.45
          365.91          362.18          2.5956          2.5879          2.5917          657.47       213859.16       221279.61       224259.58
          700.76          685.91          2.5519          2.3466          2.4493          663.86       406541.06       418452.29       423557.94
          579.86          561.05          2.6425          2.2874          2.4650          657.56       399128.91       411206.88       416879.81
          457.24          309.76          2.5878          2.7031          2.6455          656.42       386350.67       403830.83       409960.28
           82.58          774.81          2.7980          2.6791          2.7386          660.05       391226.58       419008.70            0.00
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.85          460.56          2.5170          2.4624          2.4897          664.13       392480.08       409478.31       415602.78
          757.31          281.80          2.6224          2.8054          2.7139          655.68       365421.07       387078.25       395014.59
          675.84          464.55          2.5340          2.4731          2.5036          663.15       367736.02       382743.00       388915.77
          447.61          738.56          2.9160          2.6550          2.7855          656.28       338612.95       358575.91       364584.87
          538.79          426.13          2.4676          2.3422          2.4049          652.16       313512.74       320291.76       323091.22
          359.36          497.74          2.7590          2.5129          2.6360          661.82       260956.46       271172.45       276080.32
          860.01          632.35          2.8445          2.5724          2.7084          664.12       253400.13       263495.80       267338.63
          495.81          628.78          2.4790          2.2813          2.3802          656.06       253340.79       259218.92       261635.52
          620.90          446.08          2.4295          2.3102          2.3699          652.92       245867.54       251372.39       253731.78
          922.68          603.13          2.9319          2.5997          2.7658          665.70       238890.86       251765.18       256382.43
          452.75          390.16          2.5773          2.5777          2.5775          659.19       240569.61       247573.57       250198.95
          201.86          648.08          2.7646          2.4767          2.6206          658.16       243491.98       252376.63       257416.36
          750.15          556.32          2.6053          2.3213          2.4633          657.01       229068.48       236392.12       239132.10
          413.12          887.88          2.6458          2.7495          2.6976          657.96       226710.73       236376.45       240292.06
          643.35          447.60          2.6840          2.4761          2.5800          658.44       221655.94       230028.81       233038.65
          256.92          476.69          2.6794          2.4676          2.5735          660.99       220782.52       227731.52       230617.58
          266.95          447.34          2.6257          2.4729          2.5493          661.15       219209.50       226784.48       229833.14
          266.49          447.16          2.6814          2.6136          2.6475          661.15       218034.96       226861.42       229957.57
          448.42          448.46          2.4084          2.3946          2.4015          657.07       207658.80       213867.11       216223.66
          813.35          680.80          2.8357          2.4147          2.6252          661.60       202029.36       212438.05       216586.23
          410.41          703.86          2.4041          2.4659          2.4350          656.71       209771.95       216329.35       218727.33
          380.25          369.89          2.5646          2.5016          2.5331          657.59       195604.08       201246.94       203601.71
          784.00          537.47          2.7065          2.4711          2.5888          654.94       178474.37       184639.43       187128.06
          484.91          477.39          2.3180          2.3363          2.3272          656.62       179026.21       182993.32       184630.67
          420.39          334.66          2.6596          2.6063          2.6329          656.33       175217.98       182082.73       187320.45
          438.65          422.64          3.6460          3.3578          3.5019          657.91       156972.26       176638.56       182062.98
          715.94          680.28          2.5816          2.4598          2.5207          663.88       169162.96       174289.04       176356.76
          695.52          175.64          2.6734          2.9117          2.7926          661.26       159449.35       168789.59       171767.83
          541.17          475.23          2.3671          2.3295          2.3483          655.21       159006.57       162792.29       164216.39
          320.84          254.65          3.7131          2.7677          3.2404          658.42       155325.43       164092.76       171474.14
          602.41          636.56          2.5315          2.2441          2.3878          658.01       155922.51       159679.06       160940.22
          522.90          596.35          2.3218          2.3672          2.3445          655.95       145677.78       148974.83       150364.39
          251.83          572.06          2.6635          2.3896          2.5265          657.36       148460.29       153387.65       155524.88
          154.80          402.60          2.9109          2.7177          2.8143          656.60       141734.53       150243.87       153135.28
          601.61          259.46          2.6053          2.7030          2.6541          649.53       135692.82       143178.62       145549.52
          874.94          572.55          3.0271          2.6147          2.8209          657.74       133670.93       141316.06       143739.01
          551.06          398.37          2.4089          2.3901          2.3995          650.44       133416.69       137095.40       138443.40
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          946.59          629.07          3.1873          3.7527          3.4700            0.00            0.00            0.00            0.00
          899.66          838.62          3.2293          3.3575          3.2934          676.15       121063.69       130842.30       135087.39
          811.96          169.67          2.7702          2.9686          2.8694          666.63       114506.29       122383.82       125501.91
          874.38          913.36          2.9125          2.9265          2.9195          672.38       111988.54       123062.61       129291.22
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.15          966.61          2.9323          2.9309          2.9316          666.45       114134.29       121149.93       123159.90
          455.04          598.33          2.4624          2.3721          2.4172          655.59       120861.48       124168.27       125423.59
          660.69          666.72          2.6708          2.6174          2.6441          661.45       116684.35       121139.49       122677.21
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.40          308.20          2.6654          2.5793          2.6224          649.37       116010.71       119725.15       121330.69
          781.63          426.10          2.6457          2.5390          2.5923          655.81       114713.83       119158.33       120470.67
          215.52           82.10          6.9677          7.1102          7.0389            0.00            0.00            0.00            0.00
          787.32          652.21          2.8163          2.4223          2.6193          661.70       108125.50       114444.35       118526.68
          228.42          627.34          2.6618          2.6615          2.6617          662.75       112278.85       117843.32       120107.86
          625.17          611.04          2.4388          2.3652          2.4020          657.84       108931.11       111932.96       113120.95
          721.22          289.12          2.7181          2.6564          2.6873          653.00       108646.06       112537.96       113983.29
          265.11          351.17          2.7289          2.7511          2.7400          656.25       105536.92       109656.45       111307.93
          456.89          500.90          2.3472          2.2394          2.2933          657.76       100528.64       102849.23       103836.67
          508.75          501.01          2.3479          2.2477          2.2978          657.92        98555.55       100929.73       101674.32
          395.66          124.42          2.7839          2.9798          2.8818          669.67        96185.85       102299.09       104409.49
          757.17          209.89          2.6968          2.8249          2.7609          656.74        90873.33        95275.60        96709.86
          858.49          616.33          2.8025          2.4364          2.6195          664.12        88762.86        93265.82        94967.06
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.13          319.43          2.3321          2.8771          2.6046          656.34        10915.72        11406.08        11465.21
          329.80          622.91          2.4741          2.2765          2.3753          659.91        91227.60        93875.23        95128.26
           98.70          657.94          2.9592          3.1042          3.0317          654.46        87727.30        94311.27        97731.02
          127.17          183.30          3.1190          3.1607          3.1399          668.47        88015.02        94204.02        95998.36
          364.49          465.31          2.4678          2.4128          2.4403          664.09        86383.57        88672.99        89645.57
          685.74          414.92          2.4699          2.4153          2.4426          652.94        86733.10        89337.37        90340.59
          854.13          600.89          2.8394          3.1280          2.9837          659.70        80731.62        86760.70        88739.42
          427.23          148.63          2.5817          3.0593          2.8205          662.15        75181.20        80349.72        82907.06
          401.88          180.73          2.7046          2.8979          2.8012          657.27        81064.23        85849.11        88161.17
          540.15          453.57          2.3536          2.4369          2.3953          655.21        77488.80        80149.13        81157.81
          750.19          586.08          2.6574          2.3256          2.4915          654.86        76082.62        78772.00        79816.02
          829.86          910.38          2.8138          2.9321          2.8730          671.87        70097.43        75727.89        78221.24
          698.63          307.43          2.5821          2.6620          2.6221          652.32        73653.25        77292.03        78218.58
          420.34          857.62          2.6069          2.7768          2.6918          656.61        75815.72        79772.58        81314.56
          679.22          172.39          2.7583          2.9848          2.8715          661.31        71612.72        75134.19        76365.42
          130.82          850.66          2.9939          2.8510          2.9225          658.71        73666.57        78675.09        81251.79
          403.55          941.49          2.7742          3.0072          2.8907          659.80        61585.81        68827.29        72508.53
          568.32          337.37          2.4276          2.5302          2.4789          650.83        70752.07        72871.67        73921.27
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.69          613.16          2.7363          2.4594          2.5979          664.08        70492.65        73548.24        74621.72
          738.52          695.44          2.5522          2.5242          2.5382          663.84        66534.99        69615.20        70911.55
          786.24          181.23          2.8722          2.8839          2.8780          666.52        66090.97        69719.18        70771.74
          509.73          179.44          2.6486          2.9084          2.7785          657.35        67391.89        70845.52        71917.61
          808.47          976.57          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          674.34          800.86          3.9248          2.6774          3.3011          653.37        63323.09        68090.84        71142.93
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          267.12          479.96          2.7130          2.3535          2.5333          663.37        67304.59        69493.58        70200.49
          472.51          242.69          2.4628          2.6835          2.5731          654.70        61718.86        65020.62        65876.48
          676.39          569.32          2.5995          2.1948          2.3972          656.92        58845.13        61320.82        64040.46
          574.00           78.77          2.7886          3.0516          2.9201          684.28        59401.68        63126.77        64461.74
          488.98          571.51          2.5603          2.4185          2.4894          655.93        46434.70        47710.66        48489.44
          521.05          626.37          2.3326          2.4053          2.3690          658.15        57626.44        59255.49        60152.14
          652.29          157.35          2.9689          2.9332          2.9510          662.30        57506.19        60616.23        61473.01
          646.17          704.29          3.6916          3.7659          3.7288          659.62         2634.20         3051.33         3208.93
          309.34          390.00          2.6028          2.4338          2.5183          658.18        56445.16        57956.07        58434.77
          486.13          514.72          2.3184          2.3105          2.3145          659.09        56132.11        57692.57        58413.25
          161.19          542.11          2.7475          2.6670          2.7072          656.24        57321.09        59464.63        60702.36
          689.83          769.94          2.6033          2.6808          2.6420          654.07        54698.28        56819.53        57533.37
          403.07          363.32          2.6162          2.5407          2.5785          658.17        54934.66        56783.51        57357.66
          492.29          551.30          2.4401          2.3122          2.3762          655.95        52749.34        54054.51        54482.49
          305.27          445.86          2.7117          2.4683          2.5900          659.63        55594.10        57306.22        58071.36
          895.76          613.87          2.9626          2.6201          2.7913          664.85        54402.26        56889.51        57632.21
          581.15          705.65          2.4709          2.4695          2.4702          653.26        54189.86        56032.98        56611.13
          935.20          683.73          3.1274          2.7223          2.9248          667.52        51888.86        55670.82        56909.95
          713.98          630.91          2.6518          2.4244          2.5381          660.27        50938.69        53030.88        54026.04
          961.52          591.96          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          720.57          486.37          2.8028          2.5836          2.6932          655.91        50777.79        53122.02        54593.27
          723.54          435.26          2.4993          2.4957          2.4975          655.77        52860.22        54848.94        55356.81
          397.49          653.55          2.7217          2.3806          2.5511          657.08        53995.13        55858.51        56410.86
          310.51           44.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
