ObservedAt:	2006-08-21T03:35:53
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_20.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          787.42          652.35          2.8962          2.6315          2.7638          455.58        19687.29        21248.56        22160.41
          228.40          627.34          2.9160          2.7698          2.8429          454.16        70895.13        76420.27        77965.36
          625.18          611.03          2.7196          2.5223          2.6210          443.04        79581.78        83371.86        84462.95
          721.26          289.13          3.0305          2.7973          2.9139          452.04        72902.49        77370.04        78640.14
          265.06          351.19          3.0302          2.8381          2.9341          454.70        72645.68        77482.53        78834.36
          456.88          500.92          2.5307          2.3073          2.4190          445.41        73558.49        76392.10        77012.11
          508.74          501.03          2.4839          2.3108          2.3973          445.22        76356.45        79358.87        79971.30
          395.66          124.48          3.0368          3.2069          3.1218          475.00        64897.93        70991.55        72951.67
          757.19          209.88          3.0777          2.9823          3.0300          456.09        62780.42        67841.35        69642.49
          858.47          616.30          3.3199          2.8150          3.0675          458.22        62934.41        68309.44        70212.47
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.16          319.35          0.9115          9.2736          5.0926          453.00           98.23          172.71          218.54
          329.78          622.90          2.6540          2.3275          2.4907          449.57        65033.99        68116.05        68848.70
           98.68          657.84          3.4209          3.2642          3.3426          446.53        49625.11        55107.92        57196.35
          127.09          183.36          3.4000          3.4760          3.4380          469.94        53108.06        59335.73        61078.00
          364.44          465.34          2.6151          2.3890          2.5020          453.19        65761.84        68870.05        69626.07
          685.77          414.93          2.7523          2.5138          2.6331          447.58        55036.52        57913.09        58575.88
          854.11          600.88          3.2986          3.4189          3.3587          455.46        53270.33        59075.50        60823.40
          427.50          148.48          3.1522          3.2302          3.1912          463.10         9006.93         9694.46        10116.72
          401.90          180.77          2.9998          3.0995          3.0496          456.75        54850.40        59315.83        60940.95
          540.16          453.60          2.5289          2.3820          2.4555          442.52        54836.20        57932.49        58676.39
          750.36          586.07          2.8315          2.4372          2.6344          444.03        14509.13        15302.64        15529.60
          829.79          910.15          3.4477          3.4919          3.4698          466.46        50421.12        56955.01        59346.89
          698.67          307.44          2.8469          2.7302          2.7886          451.44        50043.42        54003.28        55095.61
          420.43          857.48          2.8062          2.9272          2.8667          445.73        32311.98        35078.39        36065.94
          679.46          172.28          3.0145          3.0707          3.0426          461.44        13880.00        14965.14        15188.92
          130.85          850.51          3.4341          3.1875          3.3108          453.51        49574.68        54957.88        56872.13
          403.48          941.44          2.9508          3.5468          3.2488          453.16         7402.24         8238.23         8565.08
          568.35          337.35          2.6287          2.6067          2.6177          447.01        44116.71        46416.02        47008.74
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.65          613.14          3.0605          2.8763          2.9684          458.24        47683.18        51299.58        52209.55
          738.54          695.39          2.9798          2.8278          2.9038          452.94        42768.02        45977.06        46848.89
          786.48          181.14          2.7622          2.9644          2.8633          471.99        13184.66        14127.42        14414.70
          509.78          179.47          2.9068          3.0665          2.9867          456.96        39796.99        42910.17        43728.09
          808.47          976.57          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          674.43          800.72          3.8188          2.8217          3.3203          447.04        41377.14        45088.48        46470.03
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          267.09          479.98          2.8642          2.5368          2.7005          452.47        45969.37        48357.23        49068.82
          472.53          242.73          2.7723          2.7932          2.7827          451.72        34740.51        37047.51        37750.84
          676.46          569.27          2.7538          2.3468          2.5503          445.95        39051.08        41107.73        42036.36
          573.96           79.67          5.1020          4.1886          4.6453            0.00            0.00            0.00            0.00
          489.00          571.65          4.9391          0.9102          2.9246          443.80         2584.47         2753.36         3144.38
          521.07          626.36          2.5242          2.3418          2.4330          443.03        42023.09        43904.18        44470.83
          652.34          157.36          3.0340          3.0576          3.0458          467.90        39407.32        42780.74        43584.06
          646.16          704.28          0.0000          0.0000          0.0000          450.98         -164.68         -253.09         -376.37
          309.32          389.99          2.4136          2.5807          2.4971          454.50         9074.48         9487.47         9495.30
          486.14          514.75          2.4015          2.1718          2.2866          443.73        38013.27        39394.13        39544.80
          161.17          542.09          2.9826          2.6474          2.8150          453.19        36045.42        38324.10        39035.54
          689.81          769.88          2.9559          2.9034          2.9297          446.58        35005.32        37194.71        37577.03
          403.07          363.36          2.6159          2.5532          2.5846          452.12        28133.82        29700.16        29934.76
          492.31          551.29          2.6589          2.1785          2.4187          443.78        35669.19        37161.25        37315.12
          305.26          445.87          2.7680          2.4854          2.6267          452.32        36480.85        38371.54        38830.15
          895.74          613.86          3.4784          3.1625          3.3204          460.44        32550.50        35404.20        36182.05
          581.17          705.62          2.5655          2.5619          2.5637          444.81        34935.22        37016.40        37482.40
          935.22          683.73          3.6421          3.0309          3.3365          465.19        24995.43        27917.13        28929.48
          713.92          630.89          4.6527          4.7353          4.6940            0.00            0.00            0.00            0.00
          961.52          591.96          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          720.52          486.35          2.8329          2.6144          2.7236          446.29         9561.70        10166.27        10581.82
          723.56          435.25          2.7983          2.6587          2.7285          447.91        34072.44        36059.85        36386.73
          397.49          653.54          3.1571          2.3605          2.7588          445.95        33578.15        35499.31        35986.45
          310.51           44.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          992.99          724.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          943.34          577.78          3.6790          2.9484          3.3137          465.19        31138.70        33997.38        34774.20
          407.05          450.63          2.6355          2.3393          2.4874          446.30        29690.77        31060.12        31229.70
           73.03          119.18          3.7421          3.4459          3.5940          515.32        28956.01        32915.07        34586.30
          105.13          862.60          3.5041          3.3314          3.4177          456.34        34546.23        38686.57        39950.85
          495.48          672.70          2.7875          2.5324          2.6600          445.20        27870.11        29292.29        29470.85
          456.40          301.63          3.1362          5.8880          4.5121          454.10        27392.90        30092.55        35146.78
           18.93          839.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          217.36          645.65          3.2993          2.5676          2.9335          452.23        28220.77        30173.64        30699.68
          432.15          809.89          2.6159          2.7921          2.7040          445.94        27615.47        29197.60        29723.59
          796.64          135.70          3.2371          3.2465          3.2418          478.52        25134.75        27996.09        28840.89
          913.27          550.14          2.8936          2.6085          2.7511          463.39         7363.77         7933.56         8175.12
           46.61          647.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          528.30          630.01          2.5475          2.3103          2.4289          443.06        32872.49        34409.57        35020.76
          671.83          444.82          2.9121          3.1116          3.0119          447.96        26166.22        28319.04        29762.39
          674.85          392.42          2.6539          2.7690          2.7115          447.46        30591.31        32153.70        32651.71
          219.84           53.11          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          185.43          624.65          2.9861          2.8051          2.8956          454.39        16630.74        18046.48        19055.59
          234.63          492.85          2.7288          2.6293          2.6791          451.76        29038.62        30599.88        30992.97
          185.44          624.65          2.9933          2.8051          2.8992          454.39        16630.74        18046.48        19055.59
          177.23          328.29          3.4101          3.2974          3.3538          458.23        20357.08        22562.07        23791.30
          354.51          684.81          2.7102          2.5444          2.6273          448.40        27245.32        28766.50            0.00
          303.39          880.89          3.1949          3.0314          3.1132          454.36        21796.12        23786.75        24575.11
          196.44          574.47          2.7394          2.5106          2.6250          452.97        16012.48        17022.28        17174.66
          438.24          825.39          2.6546          2.8188          2.7367          445.92        25085.19        27057.88        27578.51
          260.15          284.71          2.8972          2.9379          2.9176          457.30        19494.42        20714.07        21055.63
          255.67          670.50          2.9872          2.7032          2.8452          450.18         7127.80         7578.61         7749.96
          644.24          342.78          2.6343          2.5955          2.6149          448.23        25996.54        27508.45        27849.12
          816.08          895.36          3.3266          3.3845          3.3556          463.04        25711.06        28633.10        29685.25
          260.42          284.89          3.1032          2.9016          3.0024          457.30        19494.36        20713.98        21055.47
           53.34          821.88          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          716.64          744.81          3.0749          2.9993          3.0371          446.59        16400.31        17461.60        17556.74
          755.25          324.73          3.0020          2.8919          2.9469          448.19        24366.43        25920.41        26471.87
          429.36          702.30          2.4228          2.4647          2.4437          445.27        25125.33        26291.53        26576.62
          790.05          593.30          3.0227          2.7400          2.8813          455.36        19387.32        20419.81        20800.56
          457.31          253.01          2.6976          2.9364          2.8170          451.76        22848.85        24061.88        24372.47
          671.67          469.15          3.7884          5.8580          4.8232          449.44         8518.26        19014.97        76815.03
           41.04          719.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          537.83          238.13          2.6583          2.8518          2.7551          450.70        19081.97        20143.83        20514.35
          773.65          918.52          3.9034          3.6772          3.7903          466.74        21542.80        25156.43        26112.51
          445.33          649.93          2.3461          2.1234          2.2347          445.68        21083.08        21965.95        22023.65
          412.52          771.87          2.8457          2.9466          2.8962          445.24        18586.74        20194.38        20859.08
          822.57          625.77          3.4394          3.3780          3.4087          458.23        12943.82        14217.22        14585.69
          214.47           90.82          7.3918          6.3288          6.8603            0.00            0.00            0.00            0.00
