Star#,2021-03-01,2021-03-02,2021-03-11,2021-03-12,2021-03-18,2021-03-19,2021-03-27,2021-03-30,2021-03-31,2021-04-20,2021-05-04,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-13,2021-05-31,2021-06-04,2021-06-05,2021-06-08,2021-06-10,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-21,2021-06-30,2021-07-02,2021-07-11,2021-07-16,2021-07-17,2021-07-18,2021-07-24,2021-07-25,2021-08-01,2021-08-02,2021-08-09,2021-08-11,2021-08-13,2021-08-15,2021-08-21,2021-08-31,2021-09-01,2021-09-04,2021-09-06,2021-09-07,2021-09-16,2021-09-18,2021-09-19,2021-09-22,2021-09-26,2021-09-27,2021-09-28
18,324083.8773843,322957.4771461,323357.7538703,320918.2139623,318331.9619719,321936.0351686,321477.8551188,321036.9758004,319581.7563528,320369.1937141,320281.5028152,316531.8096357,320230.9993386,323140.1014334,323163.7984686,323604.5085562,320189.3924315,320487.6245682,319058.3570038,319292.7371216,318121.9794029,321258.6316601,323140.2164468,323486.6758014,321670.0410673,322507.3586527,318153.2201092,316937.5286813,320656.7713392,318608.8041154,320133.3214744,321192.0004088,320792.8822741,318678.5920492,319465.6182831,316607.561658,317707.6618996,319811.7031871,319380.594733,322266.5621692,322299.3730735,318484.7229357,318600.90596,319690.4289921,318227.2721381,320147.5391394,321016.0922106,320371.5454602,317487.7059759,320308.6094118,319006.7256913,317952.9319949,317792.7389642
19,340232.2280658,338891.0921794,345070.7611873,338134.469075,335173.5985682,341067.520123,341376.5592374,341601.518219,338621.1007059,340514.9389386,342301.9786688,340909.9103719,338470.8130617,352505.0033056,351848.8772039,348627.9094794,346430.1710232,344770.6944985,343243.3658806,341351.7021292,346392.0832043,348518.3530649,0.0,354068.8224477,347662.171612,354026.2073124,343318.0515195,0.0,343906.8998314,338433.1827516,343110.0419073,345724.9342402,0.0,341538.2512015,341850.312305,339631.179185,337149.1005926,342881.2590301,0.0,346553.4256245,0.0,342386.9242157,0.0,0.0,0.0,340984.1835286,0.0,0.0,333440.6553809,342574.3208135,339459.978624,339156.7823977,339620.3520541
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,319471.8232218,319351.7320283,317921.9027532,314757.1013866,312914.9368672,314560.0971737,315965.1607584,316274.9200893,317039.8706376,314312.8846145,316993.1197779,315767.2234771,315737.394072,318419.1221563,318316.8017067,317850.2058705,314864.206824,314443.842851,313642.62591,314190.3992248,314749.401906,316245.2550621,320241.6533379,319331.5730754,315801.5229095,319427.6478162,313397.1858556,315549.7379284,315807.4429978,316010.8433843,317087.2822321,317666.9830064,318906.5255544,315410.7434594,314439.4878059,313369.657766,313556.6139658,315853.5534254,314468.0610021,317892.2294963,318560.018898,313547.5719694,316600.4595448,316496.3057115,313854.917704,316564.1406203,318143.0080772,318780.9294101,318303.2641604,316072.9724857,314940.5469209,315333.8136658,313169.0238883
22,307351.859297,307452.9416651,307714.6863688,304772.4030649,303439.4654066,304448.4341219,306184.0885839,306207.4539096,306862.4814238,304211.2875261,304060.7221743,300786.4249902,301872.8811064,303601.1499712,303042.2291583,305755.1793167,303169.0373976,304891.6504244,303519.2356025,303170.6182075,303223.8134058,304235.9270226,303102.7336159,302493.8711278,303372.8103742,304538.3837458,302377.3854163,300756.4201178,303635.7406695,303468.3564413,305038.2260954,306466.0245605,307183.3636437,303780.11623,303023.9703995,301533.0220525,303080.5596085,303046.3387211,302745.7521995,304373.5288825,307719.0279141,302930.2238901,302327.2366867,303244.9655069,303931.2159996,303921.3867643,305368.6902388,305317.6506964,304972.4053797,304825.8411956,303428.0776356,301389.8247805,301590.800522
23,306368.9045685,306711.4931422,304447.711027,304161.4004366,302336.6440348,304592.7408706,305112.3511931,305285.0085728,301843.9925084,303910.6019187,302547.0146615,300309.5674633,305847.1902636,303510.1837088,303023.1501301,303240.4541634,302645.4696041,304386.2335408,303083.769245,302737.9262733,300926.815705,303481.7378289,302853.3026703,301234.3411441,303452.8123045,300434.7906667,301353.9981829,299176.3283791,302319.9083226,303640.5237131,303663.8607332,302652.8640341,302411.4225349,301925.8867241,302836.2322154,300669.7173928,302221.4878344,302846.8886388,301247.3280224,304340.8367528,306399.4067871,302620.9085855,299642.8481228,302833.7219574,301357.8819898,305793.8840244,305513.6744425,303520.407389,307107.0198916,303956.4850822,304169.8384144,304690.9851709,303047.6015033
24,293886.1709075,294436.9961488,291682.8351276,290560.6956434,289151.4692984,289844.0337573,292155.4369107,293111.9959631,291092.2843082,291225.3628176,292699.4100937,289523.8153345,292600.0865726,289871.4999612,289287.1480076,289795.018177,288739.4679524,291074.178046,290031.8973864,290054.6123943,287391.905067,290722.8801224,291884.2338448,290118.5456807,291155.4866977,289529.4561535,289760.7711178,288372.0831487,290634.164162,290585.6798444,290866.5270959,290968.4872292,291379.7754587,288993.8939873,289824.1271151,287971.692987,288592.5107972,289786.4766527,288052.862372,291317.6953499,290863.4549994,289769.3261564,287745.0817453,288229.4198407,286207.4706777,290709.2635224,292865.7438067,290704.9588676,291646.218336,288791.5179051,288872.6180627,289273.0378325,288563.5833807
25,252949.8615958,251604.2027194,255280.2734091,253328.8820437,249552.0136148,255679.3532153,254601.6334754,255004.6991455,248633.7851511,253128.7955528,248449.8373037,249662.0310277,256052.3936007,257419.6037425,255167.871925,255940.3480268,254234.3724754,255438.5135809,253143.8378583,252407.6488349,252827.1348008,253752.3864688,254302.0143073,250692.8247369,254362.3527378,249817.6048314,251647.9188378,250281.287457,253990.9260746,253074.9812509,253495.3343046,256348.959055,254320.7905781,253262.2897905,251226.6783029,246666.9719047,251648.2471771,250463.6496956,254907.2157076,251603.822412,257777.7981928,253450.8050319,248423.9605686,255658.8510431,253079.2441816,255212.4801712,252618.1517049,252822.5290634,254038.6035786,254971.5478216,255453.9037382,253892.8805541,253976.967406
26,217000.4715257,215809.8419558,215825.9153992,214523.2141066,213768.9699642,215153.2861567,215256.9201011,215292.8476347,213585.8420987,214765.9228734,214561.6467751,212516.4539215,215960.614504,216574.9329602,215730.249268,215689.5437389,214782.0743521,215598.3092567,213957.4478806,214102.5226164,213626.0280894,216220.3429146,217834.0739267,215913.9868852,215810.8325349,214716.6165581,213311.5010827,212966.4242241,215114.3264614,213904.2128479,214758.4707049,215118.3396417,214236.1307324,213077.3500944,213929.3521276,211684.7686755,213418.5466618,214355.0964371,215099.4275375,215625.2090531,215826.1664519,213578.7709083,213518.9134899,215019.6551407,212861.972731,214962.7235289,214906.57224,214807.101358,213658.5294753,215515.5227245,215708.2930607,215654.9281003,213859.6662125
27,209084.464311,209073.7314699,210288.3885976,208774.4063307,207987.5269218,209504.7525396,209973.7492158,209985.8749639,206975.9850246,209393.3763531,207948.4966305,206150.3973681,209433.5369706,208509.986203,0.0,210070.9319628,209022.3837359,210139.3470625,208415.8099826,207704.6678536,207819.819885,208098.3076213,208628.4965639,0.0,208847.9682558,207406.4167744,208329.622487,207905.6996844,209779.7657876,209530.0335717,209902.5069202,210755.4477927,210126.8151976,0.0,0.0,0.0,208717.5277123,0.0,209916.470281,207806.4795331,212238.6399877,0.0,206679.0409109,209188.7643225,209723.4297821,208917.7157391,210997.5599943,210039.4092595,210802.3105821,210326.6359533,210445.8866055,209935.8968017,210481.1998378
28,210327.5693125,209809.204913,210179.6545376,209918.6159674,208556.1128985,210140.2673282,209911.6526271,210653.2550209,206951.2956314,209558.272456,206649.6487847,207286.4781048,212185.8231125,210496.8527207,209024.6897996,210539.3188827,210165.7094746,210921.6216507,209596.6539044,208801.0277539,208602.7646798,209991.8768405,210602.6136755,206571.9275541,210366.1800559,204715.1229577,208000.4528794,207678.7760232,209896.9934139,209253.1917591,210002.2668868,211095.5479504,210873.5260759,209253.9078569,208189.5977159,206276.5961482,208512.6296976,208107.9521223,210354.1949931,208235.9964845,212327.5686422,208880.403285,206364.6796176,210583.1247592,209183.641923,211168.9366262,209751.0976717,209446.80972,210354.9436646,210159.8573996,210394.6464912,210714.9129168,210486.5657972
29,200856.8499382,200036.3267437,200848.181458,199739.7332972,198413.3878855,200866.4439557,200630.7527169,200967.6395037,198659.4372147,199859.9490568,197790.7463979,198168.2174484,201451.1475676,200360.3031634,199598.749445,201081.8288245,200319.8506385,201340.757678,200159.2677936,199506.2537917,198637.2994527,200306.3152806,199426.779038,197885.4908371,200551.7113307,197546.3162986,198624.4947652,198689.8858249,200562.619918,200806.0727214,200225.4035559,200637.1792167,200282.2613359,199402.9580002,199045.0987823,197012.4410214,199164.1154514,198782.3456373,199955.6474508,199619.7475763,202483.6979176,200081.6262866,197444.0485266,200563.6795839,199709.9054962,201752.6437439,200704.592674,199666.3956473,199943.8005987,201210.2305026,201379.0878877,201144.1810717,200439.7414994
30,0.0,0.0,0.0,195749.1559023,194626.1147333,0.0,0.0,0.0,0.0,0.0,194813.820133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190563.0272749,0.0,0.0,0.0,0.0,197308.0234338,195833.1850542,0.0,0.0,0.0,197443.3009567,0.0,0.0,0.0,0.0,0.0,194828.035935,0.0,198541.443625,0.0,193911.1680006,194825.2143977,196513.1564335,0.0,198174.7070672,197878.5801722,197782.3134146,0.0,0.0,0.0,0.0
