Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
1,1211921.5673217,1152658.4867809,1262242.8951501,1181116.0886312,1201811.210776,1559673.7151721,1275735.1920896,1278857.316949,1127446.0718583,1258140.0781388,1408889.4553197,1191253.2118381,1293736.5022555,1296789.4013016,1237281.7019806,1117664.0328679,1155885.6159288,1084308.4712627,1112470.4886907,1390671.0078598,1236779.9539995,1209125.297275,1087720.2526422,1298584.4985053,1217279.9595736,1356800.111106,1355786.9432748,1128301.5497227,1190759.0277563
2,671842.4672543,652166.9107376,682599.4669963,677614.877617,695386.0886369,789691.4283154,727671.8035087,721945.7489969,657632.1285266,667451.7956405,760525.3860672,684482.1496263,717033.5151786,721843.6971976,694322.3057755,636472.2784009,642106.2612598,611844.9235398,632064.7902926,755094.7678499,698975.0493148,673986.1934778,580676.5719233,708950.4288136,712820.5987406,734222.7844778,737765.5227496,641887.0408526,647000.4673178
3,642943.9015737,623989.7474321,648478.1476044,648096.4679314,671196.5194727,753770.3334746,702256.8106626,694481.3142584,632922.2484639,634758.493171,726806.6751466,655120.3545036,691227.3900663,693834.6786289,665570.1362168,609856.1285533,611126.8331639,580475.7721205,603689.1331665,722089.01114,666556.3460068,646051.8755006,545270.4554091,677779.9457156,681939.4803179,697661.0433528,700171.880097,605151.769512,605673.3869574
4,559882.140568,532596.2230327,556434.2212755,547584.6618225,576059.8698178,667463.9487755,593625.2229759,597903.907928,530579.2795975,552442.6423942,635087.2567225,561548.8449507,572900.541563,594691.6610118,575826.2915194,515926.6126608,532258.4644779,481570.9299396,519811.015204,635690.5855006,579319.7132623,578202.2140075,487143.8849875,600511.3799631,585982.8456454,639443.5281895,635174.0675784,537341.6444037,574078.0188669
5,562771.3771969,533074.9683853,562105.6899314,547522.7558593,584457.602584,674409.9852793,604438.1224354,595805.5502209,522287.340278,575772.6002681,642053.402664,555067.8816851,553028.4238614,592088.1569488,576053.9611201,515150.6307355,545489.9983665,481403.2977391,524813.2558062,642638.4523093,582412.0667292,594318.188298,508451.6268348,608504.0384057,586399.0047678,651242.8656971,644281.8064861,540272.8639181,587197.3275659
6,532785.3302546,521497.0113508,529854.2074902,524744.651462,555837.3775652,603133.5042086,565267.8777201,559042.2349703,505638.2497709,538051.1032307,596616.5405332,531339.0171173,528889.4855737,556303.9713346,550239.7301831,498755.9956244,514894.0048285,474682.8411208,504597.072885,580907.2011226,548389.9870263,552463.3466669,486657.0789233,560124.0024076,546858.6937639,582267.039177,580423.4085832,505921.5828143,524549.517519
7,nan,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
8,475439.9111102,467305.564695,489612.3004201,483401.4915162,488113.8519432,509346.4514,498107.5706719,494746.144867,472634.7462861,486544.9807045,507635.8429665,478637.4565899,486943.9018247,493873.8580302,490730.2348572,455327.5534478,457132.9669526,437986.9695594,452391.9589879,501804.4266227,484136.6638672,475085.2069236,424902.4277244,487810.5303149,484826.8213166,497648.7168432,499751.4873746,459638.7942024,470569.7808237
9,453341.55016,441203.964461,459351.2234036,454366.2422409,458867.0138919,467621.3361853,460450.1722009,463476.474918,443468.9264757,453540.6802351,464120.4168534,456286.7552119,459455.623761,462878.6479561,457645.3841543,441073.9018267,442222.9791434,424133.0191292,431641.5991486,464871.4705534,452317.0131063,449811.8205388,420818.068019,458886.1789764,459678.5840738,463395.0115773,458766.8864796,438085.0647218,440679.8760066
10,413385.4449194,399289.4341996,420345.8224018,413615.273247,421544.6189257,437390.1944828,421043.7888048,427946.1558628,408754.5955602,415017.5656214,426981.0609297,419979.165859,431349.087928,435759.1793035,425452.5743636,403735.7041496,406165.9127605,385191.3821634,396821.5200324,430094.4348815,421538.9701255,418277.8979895,382220.6346455,422277.3981659,419012.1278926,428492.1171193,426456.5727049,399006.2055365,410791.222101
