Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
11,414185.6526459,413436.4680022,415047.6533682,414434.8406923,416902.2086201,418625.9793603,417320.7162603,418073.6847536,407046.7383765,416113.1437838,419382.0227357,415219.015061,412808.3482827,414988.9993706,417292.2335681,406028.5346173,407847.0882678,399955.3776211,407948.9620316,415238.3762783,411635.917781,411915.8229934,386511.4237169,415929.1135711,416211.675546,417096.6823039,417160.9068267,408945.2955063,410993.0690121
12,391257.5853081,380875.8398909,396829.8292882,393569.2965656,397124.3723383,398794.4599474,394081.5780186,398683.3387439,385262.5293441,394180.143647,395788.7660906,396248.1785919,392796.4275074,397153.763213,394849.4484107,384014.2754345,384636.7089686,368551.4991249,377659.6134599,397407.2199113,391126.7838421,391645.1486953,369016.5587721,396449.9043502,396291.8453049,395444.2908212,390694.003111,378891.7584006,382662.4782014
13,373317.8933693,368878.172651,374433.2548266,375161.9917094,376327.4469161,381477.4448796,378798.908189,379530.8104603,370145.3872242,374367.1120844,379439.8756185,376995.3077696,379970.9086599,376402.275527,377699.5708133,365446.2533599,363684.3648762,353950.4929835,362553.4741204,379481.9185621,375711.8767404,373664.5839835,347006.3580174,374187.7091783,375205.7504169,377662.4515627,376151.6571577,361668.673974,362655.4616197
14,358367.0963013,354951.8036274,363252.5181755,364120.4210602,362968.3995929,372486.4424396,363442.9362056,366740.9206781,355011.3631082,366141.789852,364924.7655328,364143.5463345,359232.2457351,366505.7051344,364634.27448,353379.2543606,359989.7055332,344833.0130931,355458.6361147,362709.8259538,360825.2743324,362776.8536938,346685.9690295,361616.3166349,364254.070709,360098.315001,358951.2429652,359392.3017516,361566.4820569
15,377457.408767,369972.4617562,386809.9274868,385583.2123716,392953.938995,396940.6195011,384217.3219205,386473.3952562,365377.7271654,370440.3237679,382336.7926756,384269.160577,388717.3640278,393461.0550958,393944.8405496,381453.625785,373595.1761039,365086.515146,385287.8958117,392295.7072916,389275.9491626,388240.5317932,320932.823737,395348.8930112,396715.2835558,415209.2503539,417954.0605215,393526.7262279,395953.5023305
16,363200.7383551,359325.9026567,364455.7799919,362677.2877172,360475.2790838,280203.4172456,361081.6944178,365189.8032352,358327.2843737,365190.3542109,363324.9675466,366361.2337387,267244.0663605,364830.6944388,361228.4463247,360015.3998605,363003.808358,353859.3746752,356897.865289,360774.7782802,360721.0313472,244160.3123491,353269.2681416,363298.4041455,362643.8418468,363337.5286468,362326.9158828,359799.080054,364829.3139229
17,355458.6776789,349477.9748992,359493.9522637,357439.4721849,359270.1274656,356659.7226288,354012.8550059,358914.6805461,351351.8602587,357259.1395241,353764.6343615,358436.5598178,356399.4902705,357314.8844889,355186.2848819,352468.3220101,352113.3595723,342409.6446368,347757.3032782,355038.1888027,353204.0334795,354965.0630656,343919.0853667,356272.0524593,356956.8458672,356505.6823453,352691.0288444,349863.5415884,353651.6307011
18,334734.2546247,332956.6493507,342294.8701588,340619.6735536,342789.3870957,341321.6017468,342155.9054461,341574.1865201,333245.2035212,339610.6998679,342077.3947866,337307.7484939,339125.500804,341357.8119532,339068.649801,332327.9381319,332310.6855567,321093.7468729,328775.1359079,338461.7186108,338665.727336,336258.0184437,312521.0073315,337875.4905157,337391.7105711,342026.4058399,340360.9120458,334941.9380896,339187.3829495
19,367683.9837607,359901.1892976,368896.6974959,364114.6661706,372459.5822641,375770.9634588,369255.5871364,371679.1773088,355454.378599,371198.5242666,374223.1700914,364945.1180899,356454.1260615,367758.1646882,366194.5706541,356644.2468713,358926.5347585,344417.4608465,355695.8512747,369219.8011805,0.0,366960.6442289,350423.4824339,369718.1938123,368675.1800644,371899.0546277,370755.8244474,360064.884894,368705.4289381
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,336894.3404068,332267.7803469,338422.6916593,339852.3531816,338000.3208141,348312.1791504,341264.1835011,342079.5513291,336590.8394703,338495.3553926,342297.9108825,341678.2335764,343901.4928783,344125.561452,346261.7292502,331831.5353303,332596.6378627,322047.0362028,332094.3375327,342722.3758074,341665.5756564,340501.887981,308658.3782674,338068.8900412,339300.1967969,342013.055875,343890.3383952,330752.6269508,333654.2677836
22,330389.6382778,331528.8155943,330633.1456601,333809.0293643,332455.5225913,335282.0974272,332288.5684665,334438.6558677,331860.3608984,332951.9364891,333921.4454301,334357.7159005,330895.1935454,335090.1273617,336814.2426528,328102.6290519,330560.052801,327320.4911843,330701.8240502,329048.0660688,333541.5601605,331264.23577,314710.2606543,326841.4764947,329788.2341089,325128.7656742,325422.7137974,326595.3833604,326755.0517921
23,331160.2045901,331210.5644151,331907.2750457,332467.6886627,332916.5396242,334727.480125,330767.0759657,333729.9589669,329612.1762968,334300.7859186,332022.7979712,333006.2739203,329792.0435169,331575.385932,332998.6699008,329131.2948019,328619.9686633,323670.6180037,327223.7532081,329656.5853482,330247.997437,330792.5200725,314299.7729799,329477.117326,330927.1945581,329518.9928991,327505.5839105,327906.3969646,328347.3361351
24,320084.6665282,321204.9005774,322866.9630444,322035.2921806,322555.9083523,321856.9481458,321490.1133524,322330.5546962,317527.849086,322708.0599801,322699.9551888,320397.2874401,318414.5617115,319079.7179298,321638.4960801,314577.3194561,316461.3801596,312687.1398441,316560.8408809,319150.7151633,317535.6585463,318823.1136413,302211.6204441,320588.0348602,320205.4215273,321103.1428878,320195.661048,319374.5951221,320013.9923874
25,267186.2432602,260309.8651302,272000.2595294,270180.567379,271770.3745292,266543.0521624,263978.7760417,270434.2995003,265574.2507165,270466.6832207,261540.3307809,270304.4454853,264166.4048098,267144.9114026,264957.3477562,265524.9464759,264281.8333877,257086.8541122,257183.900113,266417.2559298,263485.7807805,267051.9095571,266174.9547898,267846.5010221,268623.7085251,266181.5805184,261376.8913531,263271.9023636,269424.7017146
26,230208.982177,228893.9165157,232836.5185125,232126.9196109,231560.9712295,232299.4925857,231397.5992018,231191.1785591,232110.5467339,234053.9653877,228793.478548,232545.0354809,229967.6659093,232946.4837256,233298.6773243,231838.9063169,230522.5878172,228841.3754823,229641.6122533,230448.2362182,231321.6715555,231558.3253424,223802.8871164,228161.3202753,230527.8114754,228460.1931761,227011.6682784,227494.0975406,229974.5075773
27,224103.3967723,223812.6100048,220637.291884,221432.5357213,221687.9605053,224293.2221111,218584.4889505,223937.7795302,221988.070993,222060.4198688,220728.1063739,225353.5733631,223790.0194062,224971.7232256,222681.6854045,226868.9079168,224237.3303869,223325.2663822,221364.4381859,219735.4741967,222216.4270658,222243.8092851,218344.5787706,220463.7240376,222072.9133368,220250.3116938,218658.4201203,220829.0583478,221955.4358481
28,223035.0297251,220040.2991519,225201.9008783,223812.437642,224742.6251877,221796.5951969,219900.793287,224555.7051588,222180.965055,225483.849081,219687.8600803,224458.7472385,222231.4803985,222684.1356032,220563.1403179,224318.0707808,223522.1708223,219752.5949781,220411.0034591,222026.8687715,218951.115834,222153.7788919,221781.5444362,222769.1930987,223234.7737249,222585.2152142,219854.1259229,220996.2344787,223509.2556331
29,213478.637652,212606.5755977,215082.2305465,214676.5059316,214998.1050572,212609.1623523,211920.0063051,215470.8670112,213909.7771841,216126.5218475,212141.1386031,215466.4736664,212196.0898696,213373.3273138,213478.2346581,213423.2614007,213654.8270252,211871.3590155,211827.451718,211838.5273352,212479.4726895,213727.6062917,209968.2927483,212331.5770081,213650.1620784,211548.4106334,209599.828501,211035.7475694,212331.4856011
30,209633.8058507,211333.9177782,204397.8828972,206345.8410443,204836.8570845,210742.5751462,202220.285509,208594.6712917,206161.4014699,205586.6757988,207553.851005,209961.6581984,210110.1523239,210188.6573981,208195.0978777,211510.6020536,209869.9822635,209819.5183153,209117.5221777,205035.2941921,208778.9953659,207514.7336914,204384.4290652,205645.4749422,206915.8136628,203912.0426245,202861.5712142,204332.3664377,206469.3057201
31,205498.7132341,205225.8660403,210922.6024311,210566.4796775,211858.8167897,206799.935069,210020.8320815,208870.510128,209852.1784779,212268.1413918,205685.238597,207856.2551616,206601.1069142,208847.2366159,208609.7511712,210463.5292021,208127.7118391,206923.6037513,205852.9179429,205671.8356322,207552.4658307,208264.7261287,202387.4868803,206001.8945651,207078.6700723,206853.2896961,204218.5710448,205846.9131771,208465.8534872
32,219754.9849668,220049.0610079,220688.7575707,220055.5924036,219979.2583704,220865.8445804,219089.7731238,220923.4989419,219775.3812466,222008.2807983,221116.544121,220164.0607789,218432.358647,219419.4262636,219522.2269709,217881.1116518,217262.179866,215611.8080865,217796.3974397,217627.364541,216779.4834874,217821.4883914,209850.3664228,218496.2381131,218423.9601412,217969.0428816,216975.1083629,218561.6874375,219577.5444605
33,201331.2381366,201855.0738198,201507.8747963,201631.8667248,202084.7630969,202276.5309004,199613.2429867,202099.6863725,201564.0764131,202520.1242613,200299.4798839,202770.6321255,201837.4653863,201904.7097372,203826.8698919,203939.8384827,202273.2323374,201910.3712118,201662.6629742,199548.4842369,200684.3606327,201641.6702426,198416.936005,199694.8745766,200898.3887111,199467.794348,198166.2337446,199640.5289718,200859.9371771
34,215262.3596864,216197.9035831,217418.3583916,215517.9326292,216582.2290377,216755.7704199,219274.5750834,217370.8394727,212343.4741442,214704.4827301,215299.7420475,214588.3276553,216434.312426,216006.8137047,216093.4871125,216462.0054665,217150.8775023,216266.2027135,217230.4552607,219070.9212769,215041.6937736,215785.5224175,201619.8723635,221430.740436,220172.1904711,222316.9949682,222898.1663207,221753.8780386,222957.7905504
35,197994.4829929,197451.3537148,199263.6238137,198933.1452004,199228.2617124,197647.8887823,196203.4381047,199178.6163526,198184.8582372,200385.7925291,196717.1431591,199839.6586745,197007.7823653,198267.0623885,198010.8074571,199007.7137544,198425.20216,197099.6678144,196083.9546836,196386.2807608,196527.7572107,198009.2717273,195342.0595989,196687.3695188,197610.9258497,196315.1711947,193944.1008669,195610.9645333,196831.2457144
36,192742.476005,189722.2889122,191889.4661131,190604.7678755,190315.6365271,191664.3262587,187573.69783,192768.5273004,191019.177135,194477.022489,189641.9477464,194562.9087615,192898.2628721,193589.0078924,188337.5352866,194258.5899285,192487.663879,188697.8349679,188619.5781574,190614.9663592,189675.3686557,191165.9575844,188214.2703387,191446.3904155,191478.6746212,191721.3237482,189583.7447579,191327.086739,194738.5162328
37,192387.953659,190476.2882127,190949.0677852,190697.2775352,189204.0199083,192514.9687055,187551.8544209,191798.4317184,190774.4105542,194066.1183993,190511.0173875,194372.676825,192859.0709835,192853.0196607,191509.5141753,192991.9577769,192146.2065233,190514.4117708,190990.4697327,190651.7666498,190127.7166812,191616.9953801,186835.3719468,190627.420885,192030.5011556,192313.5604567,190911.3960242,191587.4914161,193470.5831265
38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,172823.8679492,173794.0372753,184191.0500733,178529.5793245,183107.7263104,180272.1396691,177266.6338056,179563.9428113,178102.5684164,178963.3591541,178936.1682656,178514.3621134,174145.4206985,180951.2410982,179067.6506994,184980.7037013,181314.5753634,174103.527692,179424.2930367,175846.4938989,180063.9729328,181467.5765486,183419.8818941,177019.4051529,172609.2665243,175335.6849282,176424.9693368,178346.931779,175681.7338187
40,182179.9884693,183822.2934108,181997.390611,182032.6042353,182318.3386499,185033.2911822,183682.9931946,182928.4995573,180796.226466,181715.9239714,182771.1812501,182919.8726796,185965.2076668,184026.9508662,184912.1124102,185977.9593331,186540.7080957,185405.8814467,185174.048133,184341.4610115,185093.3635424,184137.4815071,175360.8034454,184265.9483611,185594.8090732,186593.2658682,186712.3983533,184967.4079301,186659.92948
41,181769.3349933,183419.0253894,183467.1244519,183451.6538994,183286.4207254,182014.4404927,183054.2647786,182267.0687967,182818.241935,155088.605605,183160.6790116,182350.4534741,181847.4555506,181445.6805482,183181.7007073,182207.8719707,181712.7710757,181459.4360302,182747.2201594,181406.6624529,180944.9806748,181233.9942636,176614.7711919,180650.6248967,181187.2517135,181399.7439352,180935.8522598,181991.5763713,181668.8956413
42,166441.7925288,165412.4830334,169430.6548444,168793.9187844,169697.6765107,167070.7424976,166301.1748372,168461.2735683,168367.2862069,169035.8566349,166241.5038972,169286.3508764,170316.9645352,170717.6118089,168985.2219876,171866.346627,170552.1472486,169082.8202139,168288.2687538,166552.4774436,168719.5556707,169060.3040263,164618.8358381,166293.0356953,166491.384187,167448.2363884,166431.8980573,167570.6377405,168787.6183605
43,156550.2234702,155028.8493938,156235.4966166,156349.0590764,156876.0180548,155953.2554308,153482.5697997,156937.9942643,155748.7762823,156901.1939007,154680.0313485,157406.125589,156981.3977003,157375.1476373,155942.6084327,159361.3927299,157688.6473393,156234.3279911,155940.2995818,154416.0021056,155576.8216646,156359.8096601,156830.4713325,155440.741459,156156.0615801,154540.3651799,152811.1179014,154324.9090654,156988.4296564
44,152731.9121785,151195.6120066,155533.8202968,154744.8663029,154893.339982,153067.1306555,152153.7674687,154564.9659206,154093.5319651,155636.6477518,151155.3011547,153664.7958196,152023.3162965,153286.2961165,152315.9420002,154694.9610426,152854.1724302,151312.6814338,150318.6698342,152501.6893051,151343.3983865,153324.6843292,153395.9592195,153176.7062501,153502.3245163,151384.835744,149338.9942544,150842.9179548,152687.1546284
45,154978.0583024,156932.1641753,158680.5736578,157981.9436418,159270.1996448,156566.1267623,158106.9616747,157190.9185832,157587.5855371,158338.7198058,157890.2484916,156798.9837678,156748.9244488,158249.0455968,158978.3608456,159097.5993069,157837.081892,158697.8453463,157821.0169221,156117.3439211,158399.4701807,157736.3295061,151740.5160475,155229.5620432,155913.2807275,157537.1435506,158243.6395114,157722.2370501,158538.6618858
46,146477.1119488,141065.7894945,150827.9747956,150402.0583859,150527.9801886,147003.4689515,148646.9284232,148785.2752214,150211.6171926,150918.1966664,146032.091693,148136.6059388,149845.1928418,147635.9112725,148964.6857227,150892.0912221,149162.6867303,138074.071557,147521.3890718,146498.0717812,148250.0849037,148773.7743921,146803.160407,147895.8154938,147910.8211551,146597.5862672,144465.1602268,146677.7708589,149003.9007252
47,151908.1407609,151730.1386088,151629.1794242,151777.3619784,152137.8139079,152121.3007161,149563.5128217,152227.0329995,151887.5629463,152887.0135783,151507.7174943,152746.7835028,151603.551648,151624.4229357,151795.7669216,153348.8539289,152001.5977377,151948.0734502,151955.1663327,150775.2438905,150779.2647977,151444.8024136,148979.6956151,151038.8873927,151706.4096215,151241.6446693,150254.9847592,151308.5979519,151956.4390335
48,145620.5253415,146411.6933093,146336.4636486,146620.7116813,146400.4559886,149230.2695911,148958.4207027,148808.6843493,146854.4247362,147436.0765638,147166.4393519,147044.1933572,148240.142053,147853.5097406,148622.4868059,147793.9402259,149387.1915631,148044.1631438,148684.5692549,149736.8979194,149475.2273195,148362.7788667,138658.586646,149208.4867436,150321.12039,148898.2304886,148303.6637964,148097.6667758,147376.8797574
49,136898.8550911,136064.8501299,138147.0441746,137724.863657,138323.492372,136383.2582164,135935.6144207,137990.1042972,137202.0363756,138655.3819777,135368.9491984,137768.0008496,135593.3004096,136101.6382791,136559.1652377,137082.0591943,136814.9472297,135320.978051,134807.1813927,136413.5800123,135078.4419777,136695.2992338,137097.1626444,136736.091998,136909.1465476,135980.5076104,134244.3023277,135221.2439036,136667.0871237
50,139139.2940548,139346.529563,141266.2413789,140092.9698629,141067.303144,142193.7560002,140408.5977837,141731.790635,144283.4643086,140294.2245887,140742.1165421,141478.8688804,143023.9221347,143812.2534802,141986.9236722,141813.1008964,141114.5834676,143837.8980166,142779.2884162,141105.3451377,142830.5466749,141948.5429074,137305.6410436,143411.9039265,145124.2211767,142486.384796,141980.3625179,141145.9316498,140249.6520649
51,135265.5207898,135443.2540601,135290.8019571,135585.6115966,135352.5361413,135309.0954277,134652.8328554,135856.7374922,135765.9788879,136292.8384178,135682.8425707,135733.7596134,135123.947601,135078.1111531,136515.3401134,136086.0539328,135496.4881311,135553.4456193,135976.6377484,134906.0372968,134874.7272824,135759.3418004,132206.0351387,134288.534316,134586.6433925,134565.9436352,133937.3928708,134749.8478393,135509.61631
52,127520.876817,126241.4858738,128413.4548805,127829.8607546,128085.4679472,126924.3238252,125742.165148,128255.8390709,126908.617302,128891.7416496,125602.0439334,128249.2790895,126553.1390631,126890.8502135,126786.9425087,127630.8506234,127371.2701874,126456.2851979,125864.108692,126590.701331,125638.4459183,126966.8585245,126956.9949764,127481.9118003,127716.6728278,127055.1634804,125192.3201012,126266.3625173,128212.0103571
53,130937.1233209,130710.988457,130757.575609,130662.127646,129920.6870684,130457.5783193,129406.818776,131081.8494802,130865.9541924,132551.1008025,130385.8299966,130847.1620764,129781.7915294,130480.7186284,129865.8394548,130388.4249211,129453.8474036,129651.8173552,129435.2612331,129414.0106699,129395.8081672,129929.7579709,127587.1443222,129740.5428275,130474.1083932,128989.514039,128886.5946928,129424.1143896,131105.2280884
54,128180.9756311,126688.0881917,128565.8887736,128221.3779501,128189.8639034,127977.5317816,126477.3071667,129276.7517642,127913.3158378,129473.0071437,126906.8152889,129560.4583111,128313.9816965,128754.1642443,126646.2232606,128966.6020076,127787.8091817,127242.8737578,126961.8001776,127128.1346878,125246.7644159,126981.7289982,127158.2685046,127730.0067156,127772.4363964,126910.3139073,125521.9816354,126991.3497283,128679.9831063
55,116981.9150835,118390.8604117,118017.3967614,118521.555453,118910.5287381,119073.0870401,118552.1058207,118125.6967727,118912.7423107,119056.6578572,118817.5543429,117772.3568815,116546.6884497,116263.722165,118971.9140389,116619.608862,116067.5436084,117212.6098025,117539.800579,117513.7224907,117322.6521007,117115.4787979,111883.182046,117187.5312008,116899.2842201,117423.8477113,117722.8200882,117863.5910277,116691.6896584
56,119599.4332676,120304.5953487,117179.425152,118173.5454571,117853.7721575,119983.9679578,117301.7139417,119197.4007114,118973.7358808,118607.924369,118747.7655647,119180.8104839,119507.7082102,118924.2050489,119624.0601679,120293.4801292,119553.1016358,119667.6635686,118861.9460657,117237.9007253,118975.1239237,118595.372913,114677.1644857,116592.9230549,117383.2682717,116922.5397083,116799.5637184,117289.1648483,117770.6241088
57,113780.1980416,113896.1892977,114763.7768665,114896.8245823,114899.7862254,114148.7249321,114273.5538892,114968.3291554,114745.2007594,115799.0976867,113724.8866138,114314.63741,112178.3640288,112535.5039528,114419.3201731,113349.2685933,112814.891417,112225.4850394,112512.7686023,113358.4837224,113215.0421062,113481.6833127,113607.9268005,113317.1443296,113584.053759,112589.2092224,111975.4031874,112564.327865,113196.0818049
58,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
59,114645.4983367,115993.4013729,0.0,0.0,0.0,115378.3724518,0.0,113241.3953038,112586.9902404,111687.5910259,113815.8268795,113593.5039534,114703.8892102,114555.2481461,114599.2063823,114744.3337138,114678.5716254,115153.4226301,114382.128285,112375.5894482,114655.7181118,113582.8470232,109124.573299,111921.2363189,112549.6711663,112766.622558,112878.8897171,112897.95011,113629.834763
60,115123.3239351,116283.0055376,110340.8541847,110764.4574481,111156.8594881,113909.6973111,105925.1473547,113081.4285393,106929.5346631,109137.0457449,112990.0514107,113597.605244,116393.5094396,115450.5177238,113101.6664065,116175.8720684,115205.7584914,116031.5818009,115564.4709177,111226.361728,112335.4750998,112719.243351,111389.4858856,111773.5024079,112866.1018634,113154.541179,113060.079695,113885.1379356,115048.5122026
61,111142.499844,111328.4520902,108280.2636665,109275.9468525,109429.2560824,115109.6773396,112430.8041823,111962.7951485,110457.0191232,109692.4034885,111640.6104801,111782.1073403,112634.9156317,112065.3564931,113653.6267392,112627.4952682,113704.331191,112935.2541768,112225.4420292,112714.6821833,113704.6761619,112991.9430374,102883.76473,113419.3293456,113811.9537516,111793.3388459,110559.4616091,111135.209772,108109.0941078
62,116138.4277054,116165.4613388,102595.1158771,98281.1829818,108661.023025,101809.7361859,0.0,109101.000393,0.0,0.0,110786.5749066,109973.4866489,111103.9606431,110577.9828041,104506.3268789,111849.8304319,110048.0877802,110539.454539,110444.9631696,105039.9262539,0.0,106875.7156545,100399.4962057,107077.3700345,107741.0397379,108766.3340289,110073.9806718,109660.9729174,111126.7042535
63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
64,nan,nan,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan
65,105751.3186805,105129.5874197,106554.2434705,106318.708415,106134.022999,104336.4019208,104652.1257856,106391.3300708,106047.8408859,107328.3172974,104693.3930774,106092.0836579,104853.8357275,105230.5710997,105266.5633272,106158.3207679,105558.153132,104899.7135989,104729.2521678,104836.631852,104443.3129064,105414.8934835,105061.11626,105827.5932668,105665.2696998,105379.7934409,103782.0233148,104914.5549559,105155.3270349
66,105170.2550936,105681.3098157,105027.8719073,105162.8803159,104936.6843711,105230.4206996,104565.933219,105588.2857621,105114.5363541,106286.2387183,105547.3544304,105290.3282193,104632.0635442,104912.2567667,105862.5118233,105903.2054448,105233.5911145,105510.4286609,105388.2027431,104483.3077554,104854.3891832,105039.7168443,101941.1841772,104659.6556683,105144.3446173,105212.2489132,104422.8914855,105158.0173383,105721.7834075
67,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
68,101443.0187243,102506.7021789,102306.6889561,102610.5917041,102505.3440508,102968.273063,101921.1769594,102316.1668485,102724.1545945,103210.8560384,102896.9597114,101832.9215923,100273.5569682,101333.890115,103424.2912933,100376.3585992,100119.0526288,100987.5407645,101539.5159935,101416.1658091,101319.4111744,101381.1106123,97536.945583,100666.1979101,101391.9857737,101044.1214198,100788.9058939,101051.6646079,101047.5717118
69,103297.2945999,104577.2488584,103756.4554566,102166.8008983,105649.1499215,103940.6540228,104785.3425588,104428.3092172,102286.0792992,101402.2905018,105171.9909434,101391.0462554,107622.9820133,108149.9527367,105719.7517111,105876.5422605,105849.5834105,101494.0222816,105205.6838804,110706.6176493,106973.8971137,106030.3914257,96128.2827403,99923.4271597,103739.83844,111284.1104526,107208.6092226,107094.9087017,102050.4902862
70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,102235.9902617,103058.6278464,102432.3761135,102118.4586252,102247.1421535,103226.6026651,103341.9678287,103028.0715562,101765.1350907,102059.2827993,102347.8549237,102186.8665718,103447.3457461,103105.4467992,103558.4052403,103821.0556559,104606.3972409,103837.0037531,104455.7892575,103838.2965021,104222.7871892,103796.4011062,98220.4653934,104177.1001539,104680.7145917,104817.8506431,104087.179496,103990.0999375,104640.0752483
