Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
1,940582.4528183,876082.1934357,967938.0315844,926782.2127212,943199.1627539,1254846.0374438,1010300.1294315,1005023.5874473,881966.3831934,1001956.8672845,1094329.7907694,939238.3981149,1049841.0001779,1023979.0290546,970216.5542247,896307.970251,930294.5690965,860036.6746011,894040.004106,1116382.4051797,988688.5120053,961849.9266591,895090.3166643,1033255.6782501,972664.57477,1106362.1270782,1092909.1340301,895399.5219204,923826.6829486
2,599098.6128807,570266.3431256,620438.6867945,606293.0215364,616764.8129318,689356.8352551,643640.6596243,637011.6623413,580647.9172873,613949.5081769,674119.1024495,609604.0728669,639590.9204063,643534.6251491,626433.0950543,565386.6259681,570059.5588901,543538.4847704,560693.4392766,686582.8534543,623255.762282,611015.0539086,527678.2735935,640845.744075,635435.6339374,675289.6217152,676921.3995225,577092.6651587,579015.8340547
3,560244.017821,540658.1795088,577922.4344315,566698.1402031,584506.3143865,657944.280204,608101.1878804,598865.0851952,549233.7236629,569374.0375366,621790.866784,568147.4900542,610309.7433559,611663.8794533,589443.3261368,529879.3396342,533308.7946195,506532.3698669,525891.8743678,638708.7835224,579220.3821184,571249.8640467,490183.0603553,597465.1124976,604813.1985186,637723.2798062,641181.875984,541416.8911882,534657.3220166
4,502351.29232,471304.267646,504397.3481197,491481.5876893,516236.9970357,602477.1830247,528803.8738056,536336.7612983,471435.6580354,505465.6748021,565343.4784103,506517.753571,519047.8838752,533314.1543213,518420.9323174,455250.7687498,472428.9737202,427250.504749,457251.104986,577931.1126303,515645.4557125,521024.8816428,445727.805277,539975.1933232,526949.0726043,586495.262532,580977.8405102,479271.3315986,515453.8601737
5,497012.036663,465999.510433,503943.6317691,487966.0143194,520539.5785345,610955.2358221,534030.8829195,528839.6598154,461202.2719741,515439.2588704,564353.7712785,496269.1155827,496778.78173,526244.2544722,514330.3866438,452145.2815157,479389.5280223,423146.2832948,459044.9187222,575904.7993267,514653.1311592,527646.2733252,456440.3237091,542929.807243,523390.1146597,593757.6154971,583813.4646415,481363.1448157,524459.889791
6,484491.0258686,465007.3938988,491893.8662445,477361.2469332,499640.8438898,569044.3722975,513501.7207659,509326.4412122,457147.2353546,500737.9639881,541722.5812291,485367.3841866,486089.9398998,509244.0076963,500344.112208,451051.0383395,466588.1286999,425291.0869092,455143.3941854,542166.131537,498177.0383905,505977.9248715,450753.3060624,517991.9043122,504091.6259869,551822.4401402,544652.5484608,469812.4231276,486788.4664732
7,nan,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
8,434034.465846,418991.1541427,448226.0807347,439042.197456,441333.9852188,460145.8824721,451938.4158005,447570.2730458,425672.3773014,449922.8988019,466249.9532489,435874.9662704,440830.9614607,448093.5521033,446842.5470227,411725.7862974,414364.4184203,394940.6694174,409587.9367755,469121.3194927,443940.5853843,438416.3016995,393838.5104492,452337.8383664,445874.4457258,469886.4121491,469244.3940381,424217.0021037,429566.0781242
9,419097.8292113,404568.3085208,422146.1858525,414370.5541311,414317.6369569,422903.6466267,419384.6965489,418688.523749,403195.5624843,418079.8689268,428812.6111336,415498.889989,416758.2869004,421642.1072464,419246.4835204,400407.7802114,401857.5110335,389019.0052257,396331.368264,435565.3009636,419572.6127041,417787.4640526,383818.2806742,431037.5643919,427081.9794233,442400.5245246,437671.9854123,410541.6388862,409190.8147501
10,381198.1009055,365638.8269936,385253.2254022,377331.1928621,382368.8955541,397635.313109,383722.6028823,388227.3762365,371045.9679491,384771.3967833,396930.7539748,384144.8452741,392485.3858123,397090.8397405,388929.8358503,363917.5497351,367726.4087896,351097.0337597,362396.4236338,405238.0390795,389542.1754808,387556.2423639,355997.9197953,395580.5880169,388971.9377735,406722.6633505,405316.8427542,370995.6394759,377924.1861804
11,375135.9789269,371887.9954952,376603.3384371,373904.0385571,374214.0840707,377911.240265,376041.6329715,376006.3959882,363126.4717642,371668.9898603,378612.6159889,374191.931352,367504.0374209,372212.1541713,371830.4676247,363864.5322076,367348.2331382,357956.286328,366010.5167475,376006.505875,368621.5706631,369272.9697455,345684.6014017,376528.1082951,374069.0254726,383158.2412523,382128.7277967,372562.7793172,372789.902342
12,368196.2424877,357343.429292,371355.7179198,364006.9285361,364104.0373243,366827.6630397,365036.4202147,366676.431738,355781.4914392,371133.1717645,371948.6664486,366345.7441084,361742.6693708,366775.0165772,367823.8116028,353327.8343298,354109.7853655,344167.785568,352564.5896354,378592.5470263,367776.9531765,368574.6803902,341372.4953011,379450.2841209,373129.951913,383198.5302138,378927.0397419,359595.1512628,360644.8494537
13,338028.6506316,327918.2208347,342095.2976308,336175.5325247,330128.6250724,338040.3289883,336265.9163505,337068.3346067,330022.1528866,344478.127529,339568.2598229,338244.0182203,340018.0369146,337219.3312532,339542.7004145,326496.1685642,325286.5042221,316773.2272599,325647.2184139,349524.0582525,338088.4606486,340729.785901,314368.1977687,345450.1557289,341604.6521613,354328.7988031,349866.4822448,334105.4476571,333418.9807715
14,319363.0221463,323895.3239638,319320.2306987,328268.7017021,330521.9239108,353900.0981636,333389.31267,332150.9830822,321552.5181533,324207.0910944,332012.768461,330429.9315412,329856.5549609,332204.0424175,330288.6110306,319019.2972093,325181.9767316,315795.7065421,325032.9341735,327647.1207735,329950.7673709,328035.0622228,310620.8822029,331826.5340377,335834.1752549,326407.9093951,326638.9624851,328587.8572247,318327.7376773
15,332378.6185788,327462.555104,345583.1441677,342395.4960172,348707.6056202,343397.4718072,338735.3951075,344152.7945252,323891.4169425,332774.1704361,336077.7679591,342117.282558,346471.707201,348572.5629388,349953.9772284,338461.2765611,328879.5335631,321780.262164,339717.1133417,346796.9296801,345161.1229508,345063.1659102,300096.2777489,344851.0594499,347495.1198536,372850.8121995,373726.4769589,354650.3439157,348222.5595267
16,336113.2108318,334054.1668448,334510.7968124,332369.8756054,330002.3575052,255681.0391255,331831.8306296,333005.2611553,328545.0906136,331287.3725486,336698.6294851,335895.638853,243872.9567786,332777.6613249,330584.5865601,328903.3016696,331898.0968055,327822.702581,330370.8516893,334127.6026216,333868.4198988,225615.2424384,321689.4599796,338391.076888,335984.0013707,341346.5475727,339255.4265838,336619.0536274,337671.4783679
17,329711.7972805,323778.0430223,328906.8085978,325489.8809981,324665.3776491,323512.3885406,322543.9672424,325250.4185913,320376.0735316,326340.626983,328378.7545086,325860.4895166,322028.7790288,324841.4875905,325680.6874209,319713.5508664,319990.1000628,315976.7324962,320283.3317384,331651.3893567,327768.3485769,329253.4973703,308698.4844081,333129.9350018,331248.7495958,338697.3223321,335032.2911743,326528.2557255,327500.1248805
