Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
18,308285.6130493,304726.0657322,317256.5217407,312735.5080926,312274.2895946,307475.1017566,314489.5020954,312755.3296979,302735.6137808,317004.629884,315283.8521262,310079.2861078,308527.6212827,311884.2187012,309908.4751833,303278.7907938,304039.9139517,294043.1987624,301536.0814523,316893.6522718,312134.7731714,312665.0830181,292089.6975796,314259.3147792,312243.8854766,319627.8450771,316694.6149521,312720.9835883,311395.3106704
19,337891.059614,329941.8227627,338180.3032808,335045.555277,340085.188575,364609.4314545,341614.9221995,343454.1146629,325241.0144087,338481.1772338,349929.5361664,337958.472934,330262.3866898,341364.4405396,334790.8402106,325225.0596082,324442.6683525,314501.2592173,322997.5633101,343351.4661916,0.0,334281.2685132,314547.6024126,344108.9717164,341232.1007453,348586.8407563,348072.0145453,335540.3597416,343050.7306813
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,309081.4636012,299369.0952882,315064.5288405,310937.2314654,306015.8686554,313229.2532373,311716.8923536,311124.236931,305172.9102147,318733.9725949,312696.0063209,313416.2273252,314199.2603671,314710.2417851,317506.0576003,303464.4744306,305600.3152613,292999.5051005,302285.8493504,321219.5423493,313635.7086398,316609.4474689,289767.3845505,314877.5986761,314448.4871934,325055.9321653,324977.4310227,310748.7789446,313130.1337826
22,292496.3985294,295733.1196199,283893.587929,295253.7021179,296439.3012033,300819.6750268,297388.5576939,297647.3670083,293626.1366688,290886.7063245,298698.020425,299912.7788477,294008.3086932,299452.8007992,300013.0708773,294195.7631,296183.0713325,292064.5291463,295917.3180065,295888.4551902,300309.2157475,297246.0908232,287647.019173,287205.9262307,292192.8562883,284377.1905076,284349.8623495,289464.0103823,279819.839488
23,299134.0642972,299662.9488204,300150.4050967,299575.334247,298038.866286,294325.4273482,297673.2907692,298784.0215259,295160.0847297,302979.4045285,298988.6442746,299785.0774317,294978.2032934,295923.1191043,299785.1894665,296444.8551112,298461.7151457,295213.7004849,297525.7432195,301037.7250536,299677.1493885,302782.1139961,290332.9783282,301270.8735716,300111.1056635,301921.9839791,298267.1147284,301219.2273728,298537.4420391
24,287141.2902333,285154.9418774,293626.4127967,287158.3823314,283363.6533419,273620.1810323,285526.0963747,285739.0120796,280804.9703225,292690.1523157,285730.4818577,280023.5927312,278727.133996,275971.8357114,278403.837515,276063.7592425,278152.864796,274612.0240149,278290.9465244,279918.3059852,274835.9268778,279685.152722,274128.7428049,282577.548777,278571.1897432,285606.4305835,282693.2917878,284181.5181491,284687.0028233
25,253925.1097311,251634.8602769,252535.5692887,250431.1642054,251758.6592791,247123.2094783,246765.278568,249233.4660858,248618.866564,250874.7311775,250958.6704154,249704.6121208,244160.0341103,246072.9847292,248519.8364244,243644.3559271,244090.4958759,244255.294699,244867.3857408,252622.0772017,251479.865183,252531.6154514,237976.4842927,256870.2262725,254810.6406725,256455.9346328,253451.0445383,249240.1224741,252591.8180912
26,211743.0785803,208758.2730411,215265.408684,211163.644204,207615.8206827,208952.0513534,209068.4835075,208868.166771,210037.8257559,218076.196691,209367.7903295,211857.3589303,208574.7329088,212018.5311083,213353.1447305,210982.211328,210416.9209255,209181.0960737,211002.0298152,215491.2455274,212141.9528079,215004.6158922,206433.3391986,213618.1156082,212741.1227828,216542.6839485,213559.7929874,212957.368067,214250.2760103
27,205081.3454481,207904.4504994,194296.9815235,199644.5544118,203145.0253365,211580.2158842,200444.1402588,204256.3758251,202383.8667183,193840.7331816,204010.4939345,206216.7099896,204691.3080245,205895.686064,203423.2158099,206919.1132207,204171.783044,206480.7887963,204411.0643653,199634.9573226,204514.0844542,202660.6827456,194210.4729796,200708.173841,203560.3579638,201094.9510503,200907.3470715,202699.5507527,200321.8910689
28,210733.2208435,208084.6377183,210333.4641839,206440.0812445,205596.2308838,204136.2054332,202905.1623424,205908.1861305,205623.6539294,210253.7537191,207039.5541612,206876.5330753,204502.8896026,205634.1876624,205676.4721779,205930.8065893,205612.0055453,206192.2078406,207337.2976745,210158.8763132,206666.592839,208899.9747841,202615.3313018,212743.9679219,210754.1953888,215444.8997517,213216.4023715,210246.9404132,211219.7524492
29,199097.6965083,198660.2935414,197919.3539633,197249.6104,197124.3750898,195342.7913941,195417.2445632,197529.7861337,197328.5800952,199079.7354186,198190.8761258,198436.9040106,193860.1765303,196249.5050841,197942.3081307,195972.5672465,196357.3829141,197683.2819139,197309.7845059,199862.8440764,198952.3432416,200140.5133892,192116.7059132,200577.898045,199777.4132485,201325.8398981,199620.0921879,198714.9361712,197738.4430901
30,186484.3614978,190545.0455347,177654.1893422,182883.2056757,181490.7188817,196662.1941807,179231.7358801,185565.2473126,183393.0656928,172245.2191855,186252.6114329,187595.5689626,187846.7152964,187697.4872844,183870.2728143,188426.415594,185557.2656032,187997.3421373,187684.8273989,178864.6558703,186074.7448746,182650.679638,176995.3108149,179520.6517877,182604.6370661,179679.207367,180115.9978681,180955.7267148,178712.0120081
31,189222.7436427,189247.5313592,193659.4032277,192459.2249184,191899.9642522,187437.5218157,191494.5627149,189493.7945931,191713.7111695,195293.7123326,189182.2852796,190110.5424921,189166.733957,190821.5484879,191926.4091713,192501.078092,191047.4650907,190853.2919385,190050.9277286,192549.8248002,192173.4197825,193707.6221988,185343.2376391,192970.4752746,192317.719338,195574.8446174,193355.0524832,193104.146884,192530.734874
32,204050.1757013,202151.3065556,207237.9300543,202550.5862427,200117.9091324,206882.3846374,201177.3041257,203061.2230923,201004.3582796,207786.1217066,205590.5518439,203696.6830829,200600.2062269,203304.58634,202337.9806998,199905.1353167,198427.5392165,197366.007147,199693.1572028,204997.5297591,199871.6427746,201256.4516984,194363.0384022,204460.8439457,203086.7697271,208202.5683414,206191.3996035,205705.9828675,205096.074221
33,183042.5247886,183965.264808,179675.0328681,181745.922734,182857.0664013,183883.7983006,180690.8294107,181924.3406285,182100.821578,179846.40816,182082.7692235,183891.1277488,181998.0204458,182357.0146849,184506.544955,185359.8370942,183715.127305,185140.7215875,184483.3955923,182381.9673844,183439.2308759,183525.36988,181298.7130953,182609.1756432,183402.5895245,183754.3027553,182875.5350169,184406.5400039,181824.1840933
34,189840.1800487,189421.9612461,193711.205607,190856.0364524,189243.6514236,197209.0302877,189876.3101138,191186.3309989,188341.6517798,189276.7410473,188726.3599356,191080.6925853,194388.5368056,193624.6098754,192958.540999,193290.3714085,192913.741894,193174.3715078,193491.9432229,194410.3302841,189855.6181103,191820.5474376,180627.4684161,196682.3040449,196858.034432,204063.7403962,204414.404123,201335.1131037,202616.2878318
35,181919.0845669,182797.9385665,181929.6985376,180617.3900964,179891.6781597,176697.989232,178565.7859852,180126.7427691,180116.8624406,183079.6559664,180539.3410855,181419.7846148,177133.6446551,178422.1495496,180405.1179818,180379.389226,180495.2950859,181693.2339115,181302.0908693,181335.5380554,181221.8724722,183421.5562784,178337.6356335,182628.3571037,181238.0489726,182900.6150923,180021.9062537,182009.9383909,180983.7520087
36,183937.4224665,181443.7817885,181178.1246309,177650.6659342,176200.2662606,180863.8139391,175279.8490748,179019.7562099,178566.5748962,183588.5987852,181292.7479928,181888.6985547,179905.770853,181034.803068,176655.4418108,179096.057861,177734.1196346,178418.7936103,178270.1997562,182490.7813259,180072.1296086,180617.8233384,172354.6530581,184187.6505272,181601.3325467,186881.3053073,184450.8824258,182876.4841186,184172.1494624
37,179960.6859172,177955.7659018,178759.8635684,176552.3640132,173657.6330243,179134.3136547,174069.0866728,176833.4677975,176770.4545138,181995.5028288,178755.8070816,180722.7325849,179301.8919916,179528.7824983,178469.1569461,178275.5268195,177292.9419075,177223.5954157,178767.2186003,181107.8478888,178439.2792114,180094.1121892,173185.1525026,182119.1969066,181385.3537691,185235.5440928,183076.602851,182497.7915124,181754.9092665
38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,162411.8355883,164639.6456338,170033.6210381,164076.4838011,166515.875564,161209.4540036,163024.3907884,163681.317185,164271.5631456,165451.6191286,168374.4444555,163052.9991413,158337.5161677,164342.9185943,163147.885525,166293.0108197,164669.4791415,161529.5039538,167065.989583,165658.6042259,167800.6209324,167913.4593126,168316.5018157,166043.9471682,161350.7818726,165303.7005705,166269.7314643,165071.2435847,161543.884789
40,161016.0799496,162138.2990618,159402.4236356,160664.3997286,161647.3603909,165917.952576,161368.210954,161438.4587614,159661.650377,158433.4581425,161303.823118,162828.6616304,165349.3198996,164186.6599021,164889.017467,165983.1950958,165802.0910166,165514.6803086,164772.0540787,162740.1961546,164114.4046074,163575.0902405,154841.2058026,161888.2506637,164619.8332299,167046.3302891,167567.7783512,166240.4410976,166911.9706492
41,165805.049159,164308.6933759,169171.5661763,166059.914385,162440.7509277,164587.1201011,163645.2000029,163975.7602005,164370.1489163,142978.2953246,165307.3070078,165293.9237057,163763.7524055,164899.4477623,166016.0954873,165573.0551438,164959.5020663,164088.7622378,166083.8848695,168223.9289749,164461.1213275,166226.3325754,166306.3365067,167415.3264918,166407.4006734,172108.3715216,170216.2383176,169884.5155296,168623.5449204
42,157012.978258,155790.9284267,159355.9147635,156718.9924492,157093.3082257,155716.4891329,155108.2970521,156118.9481912,156600.2024215,159713.3933607,157153.3533078,158195.2452528,158431.1210864,159365.5101968,158145.398918,159331.5674607,158186.1565501,158705.8846546,157817.0922933,159331.6780252,159565.7924888,160328.3317331,153504.6760516,159017.2287244,157978.6290577,161866.5614281,160903.0286353,159594.6097601,159369.3497008
43,140935.706232,141447.3318966,136877.0336887,139181.7218799,139721.6157735,140412.842056,137386.0594955,138828.4665433,139675.5431713,136968.349023,139709.7082129,140265.2364784,139823.6193368,139820.4376777,139424.0028123,141805.0473938,141434.9842766,143071.677063,141845.4950192,138876.891027,140999.8318896,140515.9410884,137413.4261659,140520.0387266,140732.0652747,139040.3395123,138712.8162719,140299.1163795,140126.2403451
44,143886.5399254,141461.5134833,144841.3133156,142734.3808054,140167.5549432,140347.3416345,139858.3429154,140732.0093972,143529.3363696,145674.2418258,142095.9634547,141151.543218,140479.8811727,141849.0476639,142173.6880434,142448.4609163,141514.5293598,142923.5571869,141935.4681412,145150.5865166,143660.1159454,145539.5777915,140789.9552146,146858.98564,145451.8300582,146257.3268729,144410.9956386,143467.3167597,144387.0487206
45,138937.9323907,138997.3108038,143569.7501503,141218.6382545,140957.9054917,137710.3832779,140326.765982,139788.4232698,138845.2578776,144352.5484177,141145.7766371,140469.1190059,138519.4650002,141049.877343,141938.2887588,141825.523011,140927.5983466,140515.5180295,140549.9727514,142175.7491313,141815.2112338,142450.7456861,136944.8990291,140046.9725989,139807.9215729,143877.1325667,143559.585311,143164.4328032,141363.2479214
46,120147.8691214,118306.2732144,123560.1585368,122452.4756258,120615.5738602,112505.7281984,120317.607275,120040.3389369,121932.6716663,123608.6061191,118743.4858689,120455.7379233,122282.5677464,119340.591179,121552.9634418,124228.6073011,123645.1070289,116800.4266747,123478.7802797,121093.7713323,122136.355005,123034.0725779,123013.4168311,122659.0734498,121563.9915434,121681.1540676,120121.8315419,121773.1901958,122008.4821717
47,140348.9994995,140231.2420552,138713.3299659,139058.3224199,139294.2811518,140331.4546276,137988.0826404,139044.8500839,138971.7363477,138538.8291101,140084.6921749,140222.3021548,138237.1172999,138173.8862391,139158.0778218,140323.0496823,139377.3625448,140842.035789,140492.1917781,139643.5682211,139174.838682,139954.4161243,136194.2953722,139961.9657876,140305.9514817,141870.3430632,140842.7290967,141418.565769,141038.5743801
48,128120.9368566,130668.1242211,126920.2845864,129410.771499,131296.8180078,131513.7373556,133005.7102329,131695.980349,129827.778128,130031.8932921,129419.9230122,130742.7724539,131816.6511699,130212.7629184,131383.7757702,130842.5225986,130891.6663046,130824.3289977,130227.490238,129538.7342863,130704.8481239,129882.7078721,126345.3959502,126913.1044917,130841.7848765,127342.2795205,127390.3981536,128991.1974993,125277.7529371
49,127292.8532932,127035.6399148,127187.9034251,126127.6731251,125830.3143413,123610.4264544,124610.858035,125535.7833821,126259.6892988,127356.8051941,125988.4685802,126188.9076319,123449.3545075,124456.4860699,126283.8310949,125611.0314139,125392.5814844,126516.842677,126076.1086265,127849.3856723,126512.3476085,127570.231264,124136.4194807,128928.3850576,127883.6717413,129543.8136765,127500.7517578,127203.7850189,127259.864837
50,124814.7149541,124773.1350724,128012.7234801,125889.1579932,126375.7277372,128399.1701537,126464.545602,127437.1447207,129131.6356242,128399.6455379,126819.0714144,128243.3246255,128825.425077,129535.6789,127552.0663476,127711.8799178,126867.8251872,128847.8942524,128266.5583654,129173.2276226,128867.5660993,129104.2230353,125542.7444988,130637.1896862,131685.508081,130253.7783573,128388.132848,128655.983151,125428.4563756
51,124419.4414886,123330.2307375,124148.3600974,124055.7387258,122254.3101155,123081.9852439,122740.9290106,123253.604703,123702.5472942,124596.466813,124414.5343156,124365.5421202,123046.4404565,123780.8690509,125472.7710449,124893.3042916,124706.502207,124956.767504,125487.2460975,126352.6402853,124605.3026412,126607.9371019,123272.853401,126088.2839484,125341.7352279,128153.1755028,126898.6764519,126961.8757889,127033.9904771
52,120187.6187489,118959.6226009,119962.745624,118209.9298764,117533.1546652,116067.5505324,116474.9862573,117947.9026465,117783.7329621,120207.7798259,118129.2155097,118446.5876913,116309.2458939,117073.9197469,118014.4992327,117891.5384577,117717.6316576,118839.5660937,118584.4807818,120066.9473973,118321.193503,119648.4558414,116951.855481,121515.7180977,119890.9438977,122706.2700221,120706.6147028,120079.6490102,120875.8769265
53,122675.0688086,121543.7375598,122867.2579664,120863.4553951,118655.3915159,121736.5991101,119368.9378143,120825.7212812,120475.7517832,124619.7060767,122037.5550677,121331.1817897,119819.4974093,121134.1932962,120243.0839678,120394.1608495,119380.1207249,120047.9350934,120069.3075897,122783.569055,120523.3401059,121218.2004576,118336.2474583,122931.2684484,122088.5165216,124407.562551,123217.3845017,122576.4529076,123420.0838425
54,120821.9325545,119662.4426571,120126.3237901,119072.8734312,118292.5411403,121448.9123995,117873.2376745,119846.7993939,119409.9965912,120877.1984824,120068.337815,120371.0226542,119748.569641,119785.0601476,117864.6501854,118844.0316068,117552.7734637,119510.0904957,119044.3448557,119975.6080687,117929.2186668,118739.0646962,116958.3308619,121705.5848385,120893.8064129,120907.5122893,119750.674732,120694.4523494,120850.4594031
55,104016.9257895,105962.1323883,105304.5368585,105703.4247297,106320.816327,105082.9146299,106332.1307903,105779.8433717,105709.1814695,106678.0286048,105759.4705214,105304.7335337,103973.1107994,103274.9999479,106284.6673088,104687.4239452,104271.6565978,104766.209349,105453.461316,105090.6911934,104856.2544895,105038.076534,104612.3846479,104582.5358107,105567.2245074,105387.5679451,105423.2615668,106959.3290073,103772.5170098
56,105500.7515014,107732.0298185,100534.1483558,104649.2232948,105178.6941597,108835.9207788,104920.5930222,105938.0908393,105365.690974,101494.2005372,105857.5833189,106652.6313047,107198.1517706,106022.8898808,106175.5696759,107799.1932582,107369.1408137,108064.4341902,106620.072218,103429.6596422,106402.0795325,105394.036454,103367.589733,102577.0219668,104161.9837384,102225.9474602,102505.7517444,105011.3009795,103450.6180242
57,104740.4780425,104831.3356347,105272.0686656,104966.5681175,104389.3423181,102864.5900703,104111.4247908,104419.6893167,104772.2711155,106298.2910724,104657.1166913,104493.4415686,102286.352761,102600.5438074,105432.4018125,103750.4724688,103458.2247331,103894.8164623,104171.8141962,105806.3214671,105141.4099725,105568.4910898,105126.4878755,106220.9933439,105516.7064631,106617.6530886,105468.9013102,105701.7347,105119.2548283
58,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
59,100528.3339031,102870.9147826,0.0,0.0,0.0,107052.3006994,0.0,100126.6489716,99984.2758961,95125.8913329,101004.1096733,101753.2512916,102887.7177015,102507.1248465,101007.6658963,102775.8879915,102284.4888702,102638.1388154,101777.7777741,98212.8115984,101588.0352008,99496.47468,96535.9622759,96427.0006845,99002.616775,97369.5032893,98016.4396838,99814.2756299,97584.8067876
60,97318.9836309,100166.6100008,88050.1912451,91273.610026,93989.4414107,108157.0103394,87285.0745846,96050.650742,91298.0969532,83208.9698654,95679.0669444,96863.6329642,102744.7989326,101681.4497682,97574.9485746,101947.1577508,99774.4756605,101458.0660283,98475.9399176,90878.4246564,94240.050376,92524.7368983,92625.002213,95215.4994006,98020.1439575,97687.8995416,98556.7228695,99536.9876135,99336.7312377
61,93896.9927451,94482.1861037,85306.7262325,91302.3127418,92498.1598772,103728.499453,95957.2880285,94871.4576187,95385.3932292,89935.8574955,94110.3810904,96390.2638037,98242.4546392,96839.1591309,99478.5661623,98053.2948939,98214.5457463,98348.7522053,96281.4894525,93493.8056941,97716.0053384,95759.3409222,89920.33231,94049.6253943,97947.2936993,93406.735634,93569.7071012,94430.6599012,89551.9801095
62,97847.8982886,99135.2768235,80980.5578227,82160.1235125,91880.5471752,97921.6693778,0.0,92631.0683586,0.0,0.0,95695.4957749,94691.7486136,98200.4857637,97156.1859526,88343.2301153,97075.3382342,93784.8823053,94431.6806275,93680.0992532,87559.882299,0.0,88204.006735,82811.755414,89190.6165422,91856.7309234,92991.2237357,95441.8201138,94560.437488,94725.098349
63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
64,nan,nan,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan
65,97616.1212381,96791.5930258,97784.4372933,96618.2119613,95302.5165391,93622.4454702,94801.5402877,95935.0962959,96395.4554684,97947.3038018,96346.5863144,96302.5491196,94643.8301599,95205.7735426,95675.3419155,96275.615535,96127.3759295,96773.9841815,96686.7364333,97521.3673762,96153.3894686,97208.041583,94948.9675583,98799.8439883,97111.4542898,99584.1172833,98149.0817721,97720.7863762,97222.2423145
66,93489.7711746,93648.6118738,94415.7527385,93723.6955481,92476.2419402,92380.7765561,92812.0040765,93151.3169985,93128.7735635,94894.9106035,93403.9459601,93674.56598,92823.6500809,93098.1141994,94043.6696581,94744.7608614,94628.1299463,94975.0399192,94826.5554355,93920.5842068,93751.017198,94747.777749,93919.251385,94408.7071798,94174.4361095,95734.7360363,94032.841435,95986.9105932,95623.8885157
67,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
68,91718.0753859,92181.1297686,92882.4810881,93085.4188885,92927.2224745,93057.5884429,92433.2414292,92593.8796212,92587.7344948,94329.2077309,93545.5374327,92738.4360102,90304.9099497,91976.8787227,93995.8936507,91416.51541,91061.6012675,90985.3016776,92203.5919915,93528.8611794,92652.1746273,93191.6138961,89908.9780669,92149.4074316,92687.5783504,93265.6661717,92842.8265794,92967.4361106,91395.0706773
69,92700.0722708,94635.933867,92579.8214513,92457.1349947,95623.1428899,92553.1120419,94358.9613839,93817.4032195,92067.6040149,91040.3236357,95449.4397867,91239.2983844,96645.3573042,97038.9997101,95339.9865857,94924.0790759,94944.1840379,90903.9925126,94558.0721431,99093.9983665,96381.5265426,94920.0669818,88379.594289,89223.9540119,93336.7112374,98188.3798709,94706.1239907,95627.3090327,90906.4781898
70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,88684.181479,89214.9192961,87978.2233534,88190.1071226,89069.2735897,89940.346316,89010.3239414,89122.555129,88203.1212402,87912.3923401,88590.888331,89097.7964422,90064.8158478,89637.7984198,90143.9554459,90666.8205258,91047.193602,90805.6314339,90866.7284732,89485.181814,90192.1222243,90405.7275817,84582.7363586,89274.9210832,90557.4611661,92058.4425672,91848.4608995,91131.8758941,90862.0933384
