Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
349,10684.0243877,10641.730069,10700.0104592,10643.1063567,10636.2030571,10409.9505535,10622.3539148,10624.4171713,10581.2717347,10703.9880698,10635.7676098,10606.6018451,10473.3750612,10619.6846435,10617.0220394,10636.5507203,10656.1027583,10627.1304626,10675.1812564,10703.898089,10701.619175,10738.3318962,10543.3033478,10730.7048267,10709.3976425,10684.3095601,10746.6388607,10648.5811728,10714.8230007
350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
351,10592.9280913,10470.0352172,10718.9328934,10612.9237159,10672.0146921,10569.2697112,10610.8694607,10646.373647,10666.0071842,10682.9722657,10625.6240519,10648.8668211,10626.3363112,10748.9936128,10701.4602874,10710.3192388,10768.4155229,10704.0477492,10736.6396381,10784.0825437,10875.7022701,10833.0887262,10487.2320748,10741.8860216,10661.3298488,10790.529152,10793.795982,10774.0322668,10756.6509723
352,10830.7256948,10782.8835558,10922.1455597,10901.3710113,10877.1691903,10854.1530648,10882.9023183,10869.5738927,10862.8402172,10949.1023516,10857.8703962,10814.5489804,10669.8479354,10831.6144913,10926.6860286,10743.4668118,10843.1497746,10804.0943528,10805.5830682,10953.9455636,10779.1690293,10944.2548029,10622.7432572,10960.321446,10864.0711572,10858.5365695,10903.1853223,10839.5893771,10901.7291706
353,10175.044229,10133.486491,10467.1396912,10350.8796627,10367.0945391,9995.6979848,10286.9489816,10171.3485943,10156.1424261,10295.8659464,10131.8796527,10165.0846902,10099.5904498,10229.6048317,10230.1060658,10227.0352483,10191.650137,10199.2508425,10251.5883311,10319.2101082,10273.6814697,10285.1800916,10076.4469707,10237.6498076,10096.2701446,10252.2953576,10258.7562836,10208.9744728,10109.4474772
354,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
355,10683.4866034,10620.574013,10734.968278,10686.9094723,10645.1129884,10561.2005319,10630.2105302,10621.0553469,10619.8272078,10582.3940328,10700.8291736,10618.0203452,10428.0938076,10502.1576743,10686.4053916,10429.239406,10494.0792898,10528.8151892,10617.0242234,10774.6105924,10540.9286814,10612.3817593,10526.4351651,10767.5886309,10748.8337932,10813.5298767,10906.149233,10761.8496506,10912.7908763
356,1191.5380347,1119.0017759,1078.7754701,1099.9606025,1064.3259835,1024.7923122,1102.9952785,1031.7846637,1121.3036493,1143.513448,1252.1270465,1351.3247287,1413.119565,1364.7029484,1439.4054813,1492.2284522,1752.2175235,1892.2797178,1942.0514549,2178.7486194,2100.9310015,2158.027745,2317.41407,3153.0479756,3277.9412306,3520.7682616,3662.181708,3654.3717768,3897.2951262
357,10780.0976868,10883.5170209,10822.2624,10891.9448627,11951.4043411,11129.2287902,10879.3396568,10950.7187772,11904.9517607,11067.4751058,10901.4700441,10428.8289665,10776.3792435,10980.0885952,11025.5011052,11366.0852709,11013.607589,12097.8233614,11493.5340134,11074.0347668,10965.3856715,10921.7304845,10834.2645965,12273.0945284,11694.536422,11034.2633018,11046.7480077,11485.6068334,10530.2625168
358,11383.731663,11284.899605,11383.4588546,11275.8562432,11287.9354087,11389.7058774,11367.3273325,11333.3215362,11274.1827036,11319.1313529,11256.1606237,11212.5752628,11271.9030407,11186.3365891,11124.8851596,11040.8147437,11162.9142484,11103.5958319,11206.0101427,11421.3541029,10913.1580242,11118.1245561,11138.5764261,11436.4349528,11449.7572848,11380.3739737,11454.0924273,11331.0174183,11427.562862
