ObservedAt:	2006-08-21T03:26:44
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.29          459.31          2.8645          2.4633          2.6639          452.64      1113157.03      1171167.77      1187227.78
          547.06          493.80          2.3729          2.0603          2.2166          444.85       359599.83       366240.26       368837.70
          462.60          522.95          2.3751          2.0785          2.2268          448.63       317538.93       325992.58       328791.49
          230.32          347.61          2.5900          2.5595          2.5747          458.38       278983.67       290317.80       294010.15
          111.93          420.29          3.0777          2.7064          2.8920          451.97       294792.19       316276.26       323722.52
          152.59          614.76          2.7442          2.5950          2.6696          458.20       397666.86       415782.27       421263.26
          957.99          389.36          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          500.10          376.24          2.3536          2.2844          2.3190          452.90       351381.70       358253.34       360941.20
          550.27          571.52          2.3189          2.0399          2.1794          446.63       334649.39       342155.18       345007.71
          369.25          409.17          2.3582          2.3173          2.3378          455.14       325698.52       332565.67       335518.21
          579.99          818.89          2.4164          2.4859          2.4512          451.12       285430.96       294180.83       297325.66
          479.35          571.77          2.3829          1.9946          2.1888          447.62       292202.53       296606.40       298630.56
          336.25          573.56          2.4128          2.2978          2.3553          453.62       271074.98       280908.15       283762.22
          586.18           96.99          2.7597          2.9710          2.8654          477.21       263211.29       276726.55       281633.66
          365.91          362.33          2.4363          2.3628          2.3996          455.56        47320.37        48724.38        49170.13
          701.00          685.62          2.5403          2.2525          2.3964          456.21       264285.97       271009.97       273902.82
          579.99          560.95          2.5246          2.0318          2.2782          446.64       261865.10       268403.66       271175.02
          457.16          310.01          2.5293          2.6065          2.5679          454.38       245888.18       253358.70       256290.64
           82.30          774.25          2.8646          2.7674          2.8160          455.97       263277.32       278905.69       284792.86
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.76          460.61          2.4118          2.3049          2.3584          457.36       225371.91       232347.62       234956.05
          757.39          282.10          2.5610          2.6776          2.6193          452.96       229234.95       239638.81       243437.17
          675.97          464.67          2.4932          2.2948          2.3940          452.61       238187.48       244278.36       247023.62
          447.68          738.13          2.6051          2.5336          2.5694          451.48       217256.37       224176.59       226488.31
          538.81          426.28          2.4035          2.1387          2.2711          446.53       210950.57       214507.61       216144.57
          359.30          497.71          2.6779          2.3234          2.5006          455.01       169501.37       173933.50       175865.81
          860.28          632.19          2.7924          2.5132          2.6528          459.63       165130.16       171325.03       173572.60
          495.89          628.52          2.3761          2.0346          2.2053          449.90       168820.62       172139.64       173361.26
          620.98          446.20          2.4372          2.1346          2.2859          446.55       159531.27       162552.28       163918.14
          922.96          603.07          2.8726          2.5932          2.7329          463.55       149293.91       156615.41       159059.37
          452.73          390.36          2.5229          2.4420          2.4825          451.98       153890.33       158261.51       159590.47
          201.70          647.77          2.6300          2.3033          2.4667          456.50       153556.64       158240.12       160687.46
          750.34          556.28          2.4862          2.1784          2.3323          447.74       148601.79       152567.18       154245.83
          413.27          887.43          2.5621          2.5670          2.5646          453.72        86720.28        90896.72        92380.77
          643.45          447.72          2.6232          2.2940          2.4586          450.53       148108.76       151920.94       153346.56
          256.78          476.69          2.5275          2.2763          2.4019          456.00       147984.45       151697.17       153186.90
          266.79          447.41          2.5695          2.3067          2.4381          455.50       141437.90       146149.04       147860.96
          266.33          447.22          2.5798          2.3695          2.4746          455.50       142506.68       146538.79       148029.82
          448.39          448.56          2.2560          2.1941          2.2250          449.79       135760.73       138357.12       139430.11
          813.63          680.61          2.8325          2.3974          2.6149          457.25        91044.52        94100.01        94992.03
          410.44          703.53          2.3634          2.2185          2.2909          451.23       123722.40       127552.83       128782.32
          380.16          370.10          2.4654          2.3459          2.4056          455.69       128669.35       131619.01       132784.68
          784.20          537.48          2.6919          2.3369          2.5144          452.72       117621.56       121882.56       123586.63
          484.90          477.43          2.2160          2.1741          2.1950          449.19       118248.47       120106.49       120807.28
          420.29          334.89          2.5876          2.4908          2.5392          453.93       108135.61       111170.20       113398.77
          438.58          422.75          3.7003          3.3883          3.5443          450.67       103949.12       114979.88       117550.80
          716.16          680.04          2.5194          2.4110          2.4652          456.22       110600.02       113466.48       114751.03
          695.61          175.87          2.6518          2.8397          2.7458          460.63        63260.54        66064.73        66863.92
          541.20          475.28          2.2388          2.0842          2.1615          446.39       102910.92       104854.57       105514.44
          320.73          254.86          3.3422          2.6916          3.0169          457.22        94384.52        98811.53       102078.77
          602.54          636.34          2.3666          2.1908          2.2787          449.33        96240.54        99175.56        99961.08
          522.99          596.19          2.2333          2.1403          2.1868          446.57        94854.50        96341.77        97055.88
          251.72          571.89          2.4875          2.1690          2.3283          454.60        96456.43        98955.97        99920.53
          154.57          402.69          2.7275          2.5763          2.6519          456.57        93821.55        98796.02       100546.30
          601.62          259.70          2.3888          2.6729          2.5309          450.55        80953.69        83838.16        84936.84
          875.15          572.51          2.9769          2.5604          2.7687          453.63        84117.01        88822.09        90278.81
          551.07          398.55          2.3195          2.2348          2.2772          446.80        84974.67        86625.08        87356.45
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          947.12          628.99          3.0064          2.5849          2.7957          464.21        70224.39        73901.47        75323.20
          899.96          838.26          2.9732          2.9320          2.9526          469.41        79377.69        84291.54        86297.14
          812.15          169.77          2.8419          2.7822          2.8121          467.54        39763.88        41980.66        42774.29
          874.69          912.99          3.1877          2.9149          3.0513          464.93        71204.77        76198.54        78668.46
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.32          966.14          2.8190          2.9947          2.9068          459.56        40328.34        42667.63        43354.80
          455.07          598.15          2.2778          2.0785          2.1781          447.46        79666.30        80940.22        81564.11
          660.86          666.53          2.5898          2.8871          2.7385          454.92        72844.25        75902.31        76718.04
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.41          308.42          2.5511          2.4933          2.5222          449.59        70174.77        72140.20        72837.44
          781.78          426.27          2.5918          2.3793          2.4855          452.64        60250.35        61956.04        62551.73
          215.52           77.10          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          787.54          652.13          2.7242          2.2952          2.5097          457.09        44629.26        46081.03        47064.93
          228.31          627.16          2.5155          2.3461          2.4308          458.13        70642.42        72809.80        73596.97
          625.30          610.88          2.3511          2.1027          2.2269          449.23        70647.45        72256.58        72833.93
          721.29          289.35          2.7004          2.5427          2.6215          451.76        67950.20        70253.98        70990.43
          264.95          351.33          2.6110          2.6570          2.6340          455.87        67165.64        69738.17        70687.07
          456.87          500.88          2.2297          2.0411          2.1354          448.47        64992.42        66064.47        66483.56
          508.77          501.01          2.1684          2.0257          2.0971          448.57        65661.32        66658.10        66867.23
          395.54          124.62          2.5521          2.8927          2.7224          469.78        59183.77        63835.18        65365.14
          757.24          210.11          2.7225          2.7464          2.7344          455.93        57956.81        60461.02        61245.74
          858.70          616.22          2.7828          2.5665          2.6746          459.63        58466.99        60425.57        61084.13
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.16          319.36          1.2186          4.7489          2.9837          454.23          524.48          551.35          570.38
          329.74          622.69          2.4080          2.1905          2.2993          453.94        59160.59        60748.93        61416.50
           98.51          657.66          3.1968          3.3289          3.2628          452.94        50495.46        55857.83        57774.04
          126.94          183.46          3.0705          3.0646          3.0676          468.57        52690.06        56968.17        58101.52
          364.42          465.35          2.2779          2.1890          2.2334          457.35        57086.03        58125.79        58533.59
          685.83          415.07          2.4548          2.2262          2.3405          448.63        53345.66        54503.62        54800.70
          854.31          600.82          2.7776          3.1141          2.9459          456.27        50167.38        54033.97        55205.70
          427.28          148.69          2.5445          2.8304          2.6875          461.55        26305.02        27440.97        28223.35
          401.79          180.91          2.6445          2.8237          2.7341          457.21        51060.39        53607.94        54619.68
          540.19          453.63          2.2865          2.2197          2.2531          446.39        50001.74        51254.21        51797.38
          750.39          586.02          2.6320          2.3114          2.4717          448.58        29925.77        31108.58        31582.39
          830.11          910.04          2.8605          2.8214          2.8410          465.02        46726.02        49698.45        51001.43
          698.70          307.65          2.4915          2.5964          2.5439          451.50        47643.22        49168.56        49699.90
          420.44          857.28          2.5309          2.7356          2.6332          452.75        40974.16        42671.06        43341.32
          679.34          172.48          2.8208          2.9370          2.8789          460.62        28660.12        30197.78        30529.70
          130.72          850.27          2.8874          2.6247          2.7560          457.90        46236.07        49862.30        51503.14
          403.58          941.22          2.7506          2.7802          2.7654          455.61        22006.91        23412.54        23992.99
          568.35          337.52          2.3098          2.3462          2.3280          449.33        42792.75        43965.80        44437.84
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.86          613.09          2.6467          2.4250          2.5358          459.61        44979.13        46520.97        46952.73
          738.70          695.25          2.4821          2.4807          2.4814          456.19        41634.76        42734.62        43116.42
          786.37          181.34          2.7662          2.8536          2.8099          467.60        27006.53        28588.12        28823.90
          509.71          179.62          2.5354          2.7469          2.6412          457.16        40203.38        42384.91        43104.84
          808.47          976.57          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          674.54          800.55          3.7368          2.7114          3.2241          450.09        39380.21        41832.73        43503.84
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
