ObservedAt:	2006-08-21T03:19:01
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.13          459.10          3.3747          2.8811          3.1279          458.91      1140181.42      1230307.47      1257296.29
          546.98          493.84          2.9181          2.6422          2.7801          450.12       639341.86       663948.44       673239.30
          462.60          523.06          2.8163          2.5771          2.6967          455.43       663787.30       700835.23       711980.13
          230.50          347.53          3.0547          3.0766          3.0656          455.83       547748.77       595245.26       609883.94
          112.15          420.25          3.4186          3.0540          3.2363          455.02       514503.57       559925.23       575699.15
          152.78          615.00          3.1477          2.9113          3.0295          461.85       342953.88       363647.28       370473.91
          957.99          389.36          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          500.12          376.03          2.8432          2.7951          2.8192          456.48       297101.44       309806.64       314131.81
          550.19          571.69          2.7438          2.5897          2.6668          451.48       257103.82       267128.71       270737.10
          369.34          409.06          2.8970          2.8595          2.8782          457.05       243999.97       255773.79       260004.97
          579.85          819.22          2.7014          2.7770          2.7392          453.95       239462.99       251986.54       256584.26
          479.30          571.96          2.8151          2.5613          2.6882          452.31       216418.46       223552.67       226478.47
          336.29          573.71          2.8745          3.1016          2.9881          458.59       210144.74       224667.13       231393.04
          586.31           96.62          3.0694          3.3247          3.1971          475.79       194028.57       213223.77       220409.72
          365.91          362.34          2.9357          2.8613          2.8985          458.20       497166.68       521982.67       530460.13
          700.78          685.89          2.8884          2.6544          2.7714          457.92       197709.24       206483.41       210609.22
          579.88          561.08          3.0391          2.5937          2.8164          451.44       190121.25       198661.71       202357.29
          457.23          309.78          2.9781          3.0400          3.0090          456.79       195866.12       208963.21       213312.33
           82.86          774.55          3.0173          3.4353          3.2263            0.00            0.00            0.00            0.00
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.82          460.61          2.8454          2.7550          2.8002          461.40       209270.54       222404.39       226744.62
          757.43          281.75          2.9282          3.0712          2.9997          456.72       185574.46       201328.34       207386.74
          675.90          464.55          2.8906          2.7694          2.8300          458.69       180558.87       191968.28       197585.42
          447.57          738.48          2.9790          2.8282          2.9036          454.65       176261.56       188473.60       193990.61
          538.84          426.16          2.8263          2.7169          2.7716          449.40       143936.63       149251.73       150878.92
          359.31          497.80          3.1813          2.8451          3.0132          458.29       127849.82       136127.18       140713.90
          860.07          632.32          3.0447          2.7842          2.9145          458.89       123109.96       129081.77       131221.52
          495.85          628.80          2.8628          2.5535          2.7082          452.54       119748.56       124249.88       126169.04
          620.96          446.08          2.8389          2.6977          2.7683          449.82       118790.10       123474.02       125229.89
          922.76          603.14          3.1111          2.7951          2.9531          459.52       119829.17       127228.93       130007.37
          452.79          390.22          2.9310          2.9179          2.9244          456.64       117213.62       123035.19       124864.27
          201.86          648.03          3.0463          2.7415          2.8939          457.90       124300.45       130876.64       134174.47
          750.20          556.36          2.8887          2.6763          2.7825          452.58       113613.44       119124.10       121134.09
          413.21          887.65          2.9588          2.9108          2.9348          458.54       184630.36       196070.60       200430.89
          643.39          447.59          3.0307          2.8093          2.9200          455.27       105375.76       111835.22       113996.73
          256.93          476.74          3.1344          2.7496          2.9420          458.69       103960.80       109130.63       111018.77
          266.93          447.36          3.0911          2.8163          2.9537          458.88       106134.73       112244.41       114756.98
          266.33          447.11          3.1832          2.9034          3.0433          458.88       105425.16       112060.96       114559.95
          448.45          448.54          2.7669          2.6812          2.7241          453.32        96639.07       100967.34       102579.75
          813.42          680.78          3.0561          2.6016          2.8289          456.14       141189.09       150815.77       155172.84
          410.44          703.81          2.7550          2.6772          2.7161          454.40       110068.60       115380.70       117445.36
          380.23          369.95          2.9530          2.8964          2.9247          458.25        93895.88        98366.81       100048.09
          784.10          537.47          2.9687          2.7260          2.8474          450.42        85494.93        89762.51        91556.36
          484.90          477.43          2.7494          2.6435          2.6964          452.54        85234.62        88336.36        89315.39
          420.48          334.71          3.2460          2.9809          3.1135          456.35        92469.15        98521.33       103247.96
          438.66          422.70          3.9329          3.5562          3.7445          454.53        74942.31        86642.41        90345.38
          715.97          680.26          2.8993          2.7254          2.8123          457.91        84454.26        88070.35        89443.30
          695.61          175.59          3.0179          3.2224          3.1201          461.98       126548.09       136076.82       139284.87
          541.16          475.30          2.7659          2.6730          2.7194          452.16        76927.36        79957.74        80958.73
          320.80          254.74          4.1544          3.0924          3.6234          461.16        79082.83        85477.86        90535.13
          602.41          636.59          2.8761          2.5125          2.6943          453.66        79191.80        82169.71        83124.97
          522.92          596.37          2.6886          2.6429          2.6657          451.95        70941.24        73370.45        74391.09
          251.86          572.07          2.9965          2.7256          2.8611          457.53        73342.59        76972.32        78570.91
          154.80          402.63          3.1651          2.9235          3.0443          455.59        67340.42        72822.48        74550.56
          601.68          259.46          2.9504          3.0241          2.9872          451.04        74872.37        80651.23        82772.61
          875.01          572.51          3.2118          2.8367          3.0243          452.92        67757.07        72716.94        74470.20
          551.08          398.44          2.8303          2.7345          2.7824          450.21        65543.07        68457.55        69487.26
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          946.94          629.04          3.2976          2.7522          3.0249          459.38        74652.38        78850.46        80647.35
          899.65          838.67          3.3266          4.1548          3.7407          470.41        58927.44        65902.64        69718.21
          812.05          169.62          3.0519          3.1820          3.1170          465.75       102669.29       112386.61       116312.54
          874.42          913.21          3.0967          2.9691          3.0329          465.91        61091.79        66933.19        70073.95
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.22          966.35          2.9910          3.0575          3.0243          467.57       104744.91       112621.28       115398.56
          455.08          598.36          2.7466          2.5587          2.6527          451.94        58956.11        61627.85        62384.70
          660.75          666.71          3.0782          3.0800          3.0791          455.94        58802.42        62550.35        64109.96
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.43          308.20          3.0573          2.9984          3.0278          450.37        61956.61        65223.55        66967.83
          781.72          426.10          2.9551          2.7851          2.8701          453.37        71267.61        75037.12        76140.68
          215.52           82.10          7.0310          7.2944          7.1627            0.00            0.00            0.00            0.00
          787.37          652.20          3.0596          2.7177          2.8886          455.71        84618.92        91186.70        94653.87
          228.49          627.30          3.0756          2.9803          3.0280          461.93        59789.99        64739.27        66820.92
          625.24          611.09          2.7760          2.5757          2.6759          453.69        52884.56        55063.26        55796.94
          721.31          289.10          3.0390          2.8744          2.9567          454.52        55447.41        58179.20        59145.40
          265.11          351.26          3.1766          3.0873          3.1320          456.61        52642.97        56012.20        57201.15
          456.89          500.94          2.7681          2.6086          2.6883          453.42        49086.87        50881.61        51588.27
          508.76          501.04          2.7611          2.5525          2.6568          453.40        47038.49        48681.15        49166.73
          395.72          124.43          3.1338          3.3002          3.2170          471.35        47850.29        52265.54        54032.91
          757.31          209.84          2.9598          3.0509          3.0054          458.23        45218.02        48192.31        49120.50
          858.55          616.29          3.0473          2.8087          2.9280          458.89        46676.55        49305.15        49976.14
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.19          319.81          2.9850          3.0677          3.0263          456.60        97277.07       103530.12       105506.03
          329.85          622.92          2.8869          2.5197          2.7033          458.34        45489.21        47593.51        48558.33
           98.68          657.86          3.2567          3.4137          3.3352          452.02        48186.92        53189.77        55692.93
          127.17          183.42          3.3885          3.4311          3.4098          471.07        45730.35        50512.92        51807.67
          364.58          465.37          3.0866          2.5950          2.8408          461.37        40355.81        42906.18        44221.42
          685.81          414.93          2.7858          2.6851          2.7355          452.03        44606.82        46596.53        47100.84
          854.17          600.89          3.0169          3.3321          3.1745          455.24        40990.43        44607.59        45738.75
          427.21          148.72          2.9532          3.3515          3.1523          464.10        69864.50        76002.60        79002.53
          401.93          180.78          3.0247          3.1931          3.1089          460.40        41394.79        44657.07        46178.90
          540.21          453.56          2.9718          2.7403          2.8560          452.15        37478.45        39655.94        40524.32
          750.22          586.09          2.9736          2.5821          2.7779          451.00        62318.88        65550.79        66743.48
          829.90          910.29          3.0196          3.0417          3.0307          465.76        34855.29        37802.95        39141.98
          698.72          307.46          2.9033          2.9043          2.9038          453.92        36820.30        39296.61        39779.85
          420.41          857.45          2.8540          2.9921          2.9230          455.83        44290.00        47621.32        49463.89
          679.28          172.36          3.0884          3.2871          3.1877          461.97        56339.75        60437.50        62074.87
          130.83          850.44          3.2055          3.0894          3.1474          460.12        36378.76        40153.67        42422.21
          403.65          941.27          3.1674          3.0405          3.1040          460.49        61759.61        68001.58        71631.90
          568.42          337.41          2.9082          2.9206          2.9144          451.85        37131.39        39360.97        40781.95
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.76          613.20          2.9914          2.6827          2.8370          458.89        35537.41        37398.13        38159.97
          738.43          695.65          3.0198          2.9635          2.9917          457.84        34862.97        37742.76        41738.24
          786.30          181.18          3.1179          3.1686          3.1433          465.62        50819.40        54430.63        55669.09
          509.79          179.44          3.0363          3.3548          3.1956          460.26        36620.32        39453.11        40383.68
          808.47          976.57          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          674.34          800.81          4.2864          2.8645          3.5755          449.42        32564.82        35697.49        37598.70
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          267.12          479.98          3.0722          2.5740          2.8231          459.90        33530.79        35030.92        35368.59
          472.55          242.72          2.7704          2.9974          2.8839          456.38        33912.66        36459.99        37019.79
          676.31          569.38          3.4812          2.5504          3.0158          452.45        30104.26        32372.01        34807.99
          574.08           78.78          3.1267          3.3866          3.2566          483.59        30569.68        33119.02        34062.03
          488.99          571.48          2.9412          2.6657          2.8035          452.25        61095.76        64280.50        65459.97
          521.08          626.41          2.6300          2.8865          2.7583          453.86        27903.45        29098.60        30038.61
          652.35          157.36          3.2340          3.0818          3.1579          462.41        28198.44        30237.63        30658.73
          646.37          704.47          3.0175          3.0896          3.0535          454.82        34312.81        37008.15        38120.69
          309.31          390.07          3.0517          2.8076          2.9296          457.00        47035.82        49135.21        49742.70
          486.15          514.74          2.7058          2.7419          2.7239          455.25        28225.37        29553.04        30139.68
          161.21          542.14          3.1433          3.1768          3.1601          455.35        29766.37        31503.11        32614.27
          689.88          769.93          2.8478          3.0765          2.9622          449.88        28793.77        30393.41        31117.48
          403.05          363.39          3.0928          2.8055          2.9491          456.46        30738.93        32434.46        33032.33
          492.26          551.37          2.8091          2.7967          2.8029          452.23        26462.21        27652.54        28192.38
          305.29          445.91          3.1030          2.7644          2.9337          457.76        28279.05        29492.60        29917.49
          895.82          613.87          3.1261          2.8017          2.9639          459.15        29065.94        30473.53        30853.68
          581.22          705.61          2.7949          2.7064          2.7507          450.54        27505.78        28890.95        29179.16
          935.24          683.69          3.1861          2.9096          3.0478          458.50        29245.12        31810.22        32596.79
          714.09          631.00          3.0554          2.7008          2.8781          455.49        27287.25        29557.42        30941.61
          961.52          591.96          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          720.63          486.41          3.2199          2.8320          3.0260          451.24        40591.66        43272.43        44775.17
          723.62          435.27          2.8348          2.7782          2.8065          453.59        27738.97        29159.97        29464.12
          397.48          653.51          2.9621          2.6252          2.7937          453.63        28141.40        29595.61        29882.98
          310.51           44.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          992.99          724.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          943.39          577.79          3.2619          2.6589          2.9604          458.08        25914.44        27512.81        28204.11
          407.05          450.66          2.7362          2.6454          2.6908          452.67        28314.60        29576.84        29930.11
           73.11          119.21          3.5095          3.2956          3.4025          504.08        28261.04        30884.73        31714.08
          105.19          862.53          3.0314          2.8971          2.9643          461.11        25102.34        27082.92        27586.50
          495.50          672.68          2.8458          2.6556          2.7507          453.58        26608.16        28422.37        28876.07
          456.41          301.67          3.3906          6.9518          5.1712          456.79        24254.10        26965.18        32691.75
           18.93          839.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          217.35          645.66          3.4710          2.6219          3.0465          457.91        27834.05        29615.59        30252.71
          432.17          809.88          2.8048          2.6823          2.7436          454.54        27945.28        29137.48        29450.40
          796.68          135.68          3.1102          3.2174          3.1638          468.77        25214.43        27454.87        27985.03
          913.39          550.18          3.1673          2.6823          2.9248          454.11        38371.19        40611.80        41288.89
           46.61          647.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          528.34          630.01          2.7179          2.4868          2.6024          453.82        23041.53        23816.59        24264.28
          671.91          444.97          2.8530          3.7625          3.3078          453.59        22081.76        24665.19        27345.33
          674.90          392.42          2.8073          3.0459          2.9266          451.62        23449.77        24511.00        25137.16
          219.84           53.11          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          185.28          624.80          3.2523          3.7769          3.5146          462.00        27685.08        31417.62        37352.36
          234.66          492.88          3.1730          2.7198          2.9464          453.48        22851.85        24423.31        25103.21
          185.29          624.80          3.2534          3.7769          3.5152          462.00        27685.08        31417.62        37352.36
          177.35          328.41          3.5605          3.6870          3.6238          455.80        23082.72        26365.96        28873.15
          354.58          684.88          2.7495          2.9880          2.8687          457.43        23082.11        24706.62        25725.51
          303.38          880.88          2.9807          2.8110          2.8958          461.89        25895.17        27366.44        27808.19
          196.32          574.50          3.0576          2.9189          2.9883          457.82        29182.95        30909.32        31511.36
          438.49          825.53          3.0196          2.7649          2.8922          454.53        23312.30        25124.20        26882.67
          260.26          284.68          3.3250          3.2510          3.2880          459.12        24681.71        26100.87        27027.16
          255.57          670.48          3.1192          3.0116          3.0654          457.11        33076.71        36019.04        37425.21
          644.35          342.83          2.8915          2.8367          2.8641          452.06        21217.72        22539.97        22977.69
          816.11          895.43          2.7413          3.1250          2.9332          464.69        20563.28        21991.06        22626.11
          260.48          284.88          3.4331          3.1997          3.3164          459.12        24681.73        26100.91        27027.22
           53.34          821.88          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          716.59          744.81          3.1776          2.7010          2.9393          452.37        26330.48        27630.05        28197.57
          755.33          324.81          3.0228          3.2159          3.1193          451.78        23451.16        24964.79        25459.02
          429.33          702.32          2.7120          2.5816          2.6468          454.20        22659.89        23800.40        24356.02
          790.08          593.31          2.9649          2.8000          2.8825          455.21        26019.57        27213.33        27682.38
          457.27          253.10          2.9493          3.7912          3.3702          456.37        21884.83        23360.89        24784.97
          671.29          469.64          2.9549          2.9671          2.9610          458.63        24536.66        25944.14        31136.01
           41.04          719.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          537.82          238.16          2.8130          3.1140          2.9635          451.69        21432.21        22878.95        23485.41
          773.66          918.51          2.9405          3.2205          3.0805          465.83        17925.41        19508.77        19946.31
          445.23          649.94          3.0354          2.4593          2.7474          453.56        21120.48        22250.28        22378.79
          412.53          771.87          3.0267          2.7546          2.8907          455.54        21094.91        22684.67        23507.20
          822.64          625.73          3.2732          3.4622          3.3677          458.91        22897.26        24631.97        25771.26
          214.05           88.86          3.1810          3.5302          3.3556          508.21        32325.06        35080.75        35783.58
          215.13          552.26          3.0196          2.6369          2.8283          457.31        30077.57        31638.07        32076.46
          980.52          892.95          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          585.94          359.94          2.9031          3.1077          3.0054          450.11        19717.50        20708.65        21231.40
          351.59          972.82          2.9350          3.1108          3.0229          469.56        39587.20        42102.01        42942.85
          220.19          717.14          2.9126          2.8049          2.8587          456.42        19384.39        20382.09        20758.90
          432.35          891.44          2.9640          3.0851          3.0245          458.43        30352.51        32805.20        36850.95
          540.55          565.82          2.6582          2.7246          2.6914          451.49        19700.28        20509.90        20825.40
          961.56           32.59          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          298.74          733.65          3.1353          2.7474          2.9413          457.65        18767.29        19864.56        20400.36
          678.51          191.51          2.8520          3.3180          3.0850          460.65        20884.73        23493.46        24488.72
          275.21          615.43          2.8192          2.6356          2.7274          458.32        19850.65        20827.83        21098.02
          707.08          889.60          3.1160          2.8832          2.9996          453.25        15652.25        16563.62        17124.79
          356.97           49.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          484.96          730.49          2.9575          2.5651          2.7613          455.02        19123.11        20204.21        20582.48
          594.03          366.49          2.6117          3.7077          3.1597          450.11        18003.76        20156.55        21955.56
          366.23          999.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          924.28           66.05          3.6861          3.6389          3.6625          502.95        18317.98        20076.39        21049.86
          651.10          720.45          2.7117          2.7676          2.7397          453.04        25976.65        27386.98        27818.48
          392.28          493.16          2.7136          3.4062          3.0599          453.45        17861.69        19075.09        20146.63
          231.23          634.32          2.7468          3.7941          3.2704          461.92        16124.78        17062.49        19105.64
          532.29          525.97          2.5498          2.8302          2.6900          449.82        16573.35        17069.49        17320.90
          112.17          324.00          3.4273          2.9663          3.1968          451.05        18476.31        19883.05        20344.85
          595.80          749.43          2.4193          2.6558          2.5376          450.28        16729.70        17456.39        17624.35
          457.03          404.46          2.6927          2.5442          2.6184          456.63        17022.53        17551.11        17547.77
          868.20          102.08          3.3149          3.3387          3.3268          478.06        24431.43        26543.14        27307.09
          880.88          565.81          3.1577          2.7574          2.9575          452.93        16176.97        17221.43        17737.78
          100.41          737.13          3.2971          2.8296          3.0633          456.81        21883.39        23759.16        25799.96
          581.90          446.39          2.6432          2.4765          2.5598          449.93        16136.58        16657.36        16683.30
          100.22          737.07          3.1555          2.8549          3.0052          456.81        21883.29        23759.00        25799.74
          805.30          117.78          5.1706          3.7361          4.4533          478.25        13675.12        18220.90        25343.89
          234.49           23.63          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          805.18          117.87          5.1381          3.7920          4.4650          478.25        13675.12        18220.90        25343.89
          161.09           60.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          704.59          736.10          2.7726          3.0615          2.9170          452.60        24319.47        25564.61        26090.76
          224.36          945.20          3.1482          3.0411          3.0947          463.77        25319.31        27540.79        28817.84
          478.23          590.46          2.7460          2.6404          2.6932          451.99        30050.77        31195.40        31438.88
          702.93          270.32          2.8115          2.7888          2.8002          456.73        15002.55        15810.81        16046.99
          519.52          715.49          2.6944          2.4225          2.5585          450.74        15117.95        15788.53        16267.89
          987.27          831.79          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
