StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
368	13.833	12.226	1.6069		14.019	12.473	1.5468	1.5768		15.429			18.76	15.541	3.2197											-0.11162
369	13.285	12.702	0.58308		13.361	12.931	0.42927	0.50618	14.725	13.797	0.92866		14.63	13.781	0.84901											0.015524
370																										
371	13.383	12.608	0.77532		13.496	12.767	0.72955	0.75243	15.627	14.344	1.283		15.479	14.306	1.1729											0.038309
372	13.388	12.789	0.59894		13.497	12.993	0.50314	0.55104	14.93	13.948	0.98218		14.807	14.036	0.77059											-0.088375
373	13.37	12.92	0.4498		13.534	13.159	0.37455	0.41218	14.704	14.015	0.68948		14.731	13.932	0.79984											0.083114
374					13.506					14.14																
375	13.402	12.904	0.49752		13.535	13.151	0.38376	0.44064	14.846	14.053	0.79391		14.804	14.006	0.79766		13.81	0.78	14.59		-0.24256	-0.19586		-0.25647	-0.21353	0.046698
376	13.502	12.932	0.56923		13.737	13.238	0.4986	0.53391	15.04	14.286	0.75481		15.14	14.188	0.95269											0.097844
377	14.816	12.004	2.8126		14.741	12.193	2.5489	2.6808		17.359			18.014	17.524	0.49											-0.1648
378	13.383	12.907	0.47604		13.562	13.146	0.41593	0.44599	14.767	13.993	0.77322		14.72	13.98	0.74007											0.013693
379	13.462	13.025	0.43634		13.568	13.248	0.31989	0.37811	14.86	14.006	0.85397		14.743	13.978	0.7644											0.027397
380																										
