StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
383	13.519	12.96	0.55849		13.591	13.153	0.43844	0.49846	15.077	14.153	0.92373		15.032	14.139	0.89349											0.014721
384	13.385	12.9	0.48485		13.493	13.063	0.43012	0.45748	14.759	13.955	0.80411		14.771	13.985	0.78565											-0.030869
385	13.54	12.82	0.71966		13.67	13.033	0.63618	0.67792	15.233	14.243	0.98995		15.222	14.294	0.92731											-0.051457
386	15.14	12.272	2.8673		15.325	12.483	2.8428	2.855	19.655	18.61	1.0449			17.084												1.5263
387	13.477	12.956	0.52129		13.574	13.107	0.46692	0.4941	15.046	14.18	0.86607		15.001	14.144	0.85739											0.035865
388	13.385	12.872	0.51286		13.567	13.097	0.47005	0.49145	15.018	14.217	0.80118		15	14.149	0.85122											0.067773
389					13.172																					
390	13.514	12.98	0.53399		13.641	13.177	0.46409	0.49904	15.098	14.175	0.92351		14.991	14.174	0.81712											0.00061703
391	13.669				13.731	12.897	0.8331	0.8331	15.366	14.388	0.97876		15.49	14.45	1.04											-0.062103
392	13.874	12.288	1.5861		13.996	12.492	1.5038	1.545	17.726	15.532	2.1941		18.856	15.674	3.1819											-0.1421
393	13.466	12.918	0.54835		13.599	13.089	0.51009	0.52922	14.899	14.133	0.76617		14.963	14.091	0.87154											0.042081
394																										
395	13.536	12.919	0.61718		13.635	13.261	0.37486	0.49602	15.013	14.254	0.75977		14.965	14.15	0.81553											0.10381
396	13.349	12.786	0.56313		13.558	13.066	0.49261	0.52787	14.687	13.959	0.7282		14.676	13.887	0.78883											0.071676
397	13.639	12.768	0.87071		13.79	12.862	0.92822	0.89946	15.389	14.289	1.1009		15.429	14.477	0.9523											-0.1882
398	13.581	12.8	0.78099		13.699	12.971	0.72816	0.75457	15.488	14.315	1.1728		15.366	14.335	1.0317											-0.019464
399	13.417	12.822	0.59533		13.602	12.974	0.62768	0.6115	15.248	14.136	1.1125		15.087	14.115	0.97235											0.020653
400	13.536	12.96	0.57586		13.611	13.128	0.48283	0.52935	15.068	14.191	0.87744		15.064	14.132	0.93169											0.058498
401										14.347																
402	14.019	12.361	1.6573		14.146	12.56	1.5864	1.6218	17.62	15.755	1.8646			15.868												-0.11215
403	13.538	12.955	0.58335		13.67	13.189	0.48074	0.53205	14.893	14.197	0.69581		14.981	14.127	0.85398											0.07005
404																										
405																										
406																										
407	13.56	13.099	0.46157		13.672	13.304	0.36866	0.41511	14.96	14.163	0.79742		15.02	14.172	0.84827		14.79	0.94	15.73		0.62731	0.61778		0.76989	0.70951	-0.0095358
408																										
409	13.595	13.068	0.52671		13.691	13.259	0.43216	0.47943	15.017	14.269	0.74765		15.007	14.175	0.83195											0.094659
410	13.546	11.978	1.5682					1.5682	16.431				16.415	14.579	1.8365											
411																										
412																										
413	14.341	12.346	1.9944		14.518	12.493	2.0254	2.0099	16.937				16.553	16.848	-0.29526											
414	15.74	12.346	3.3939		16.18	12.576	3.6034	3.4986					20.339	18.041	2.298											
415																										
416	13.429	12.99	0.43901		13.558	13.151	0.40723	0.42312	14.693	14.04	0.65258		14.61	13.963	0.64752											0.076976
417	13.695	13.24	0.45421		13.771	13.423	0.34718	0.4007	14.967	14.274	0.69299		14.983	14.304	0.67847											-0.029876
418	13.587	12.905	0.68231			13.179		0.68231	15.311	14.356	0.95531		15.012	14.281	0.73084											0.074554
419																										
420	14.531	12.386	2.1442		14.597	12.589	2.0082	2.0762	17.591	16.271	1.3198		18.28	16.34	1.9401											-0.068331
421	13.623	13.034	0.58894		13.796	13.222	0.57396	0.58145	15.234	14.308	0.92626		15.16	14.268	0.89169											0.040252
422																										
423	13.688	12.773	0.91531		13.731	13.022	0.70911	0.81221	15.325	14.49	0.83473		15.601	14.518	1.0833											-0.027732
424																										
425	13.483	12.945	0.53819		13.643	13.156	0.48707	0.51263	14.825	13.931	0.89385		14.794	13.865	0.92966											0.066607
426																										
427																										
428	14.578	12.452	2.1253		14.747	12.748	1.9986	2.062	18.937	18.575	0.36266			17.131												1.4434
429	14.253	12.384	1.8695					1.8695	16.976				17.534	15.81	1.7233											
430	13.684	13.118	0.56625		13.819	13.256	0.56368	0.56496	15.466	14.349	1.1165		15.691	14.418	1.2739											-0.06813
431																										
432																										
433																										
434																										
435																										
436	13.606	12.986	0.62052		13.763	13.21	0.55316	0.58684	15.481	14.441	1.04		15.365	14.338	1.0272											0.10365
437	13.628	13.082	0.54627		13.774	13.321	0.45346	0.49987	15.339	14.313	1.026		15.202	14.326	0.876											-0.012201
438	13.726	13.089	0.63662		13.876	13.298	0.57763	0.60712	15.329	14.386	0.9427		15.249	14.389	0.85976											-0.0028515
439	13.719	13.127	0.59261		13.89	13.48	0.41023	0.50142	15.158	14.19	0.96821		15.144	14.321	0.82289											-0.13104
440	13.605	12.92	0.68441		13.779	13.18	0.59903	0.64172	15.366	14.392	0.97393		15.285	14.3	0.98528											0.092128
441	15.783					12.785							16.009	19.124	-3.1154											
442	14.454	12.369	2.0843		14.71	12.634	2.0755	2.0799	19.144	16.355	2.7899			16.227												0.12786
443	13.787	12.57	1.2175		13.904	12.76	1.1435	1.1805	16.99	15.022	1.9683		17.597	14.952	2.6454											0.07011
444	13.763	13.446	0.31784		13.851	13.746	0.10518	0.21151	14.892	14.233	0.65931		14.773	14.263	0.51049											-0.030071
445																										
446						13.449				14.823																
447																										
448																										
449	13.756	12.858	0.89808		13.866	13.062	0.80479	0.85144	15.339	14.497	0.84165		15.47	14.458	1.0118											0.03877
450	13.703	13.191	0.51204		13.786	13.399	0.38718	0.44961	15.202	14.409	0.79355		15.277	14.355	0.92229											0.053807
451	15.212	12.413	2.7991		15.382	12.663	2.7197	2.7594		17.666			17.602	18.37	-0.76854											-0.70442
452					15.021	12.682	2.3391	2.3391		16.87			15.302													
453	14.205	12.358	1.8461		14.31	12.552	1.7575	1.8018	18.661	16.026	2.6353		17.423	16.03	1.3932											-0.0039921
454	13.83	12.999	0.83103		13.939	13.193	0.74583	0.78843	15.626	14.628	0.99814		15.498	14.556	0.94125											0.071359
455	13.616	13.03	0.58555		13.733	13.285	0.44803	0.51679	15.229	14.341	0.88797		15.163	14.306	0.85675											0.03454
456	13.676	13.215	0.46142		13.865	13.465	0.40033	0.43087	15.093	14.284	0.80904		15.022	14.247	0.77449											0.037107
457	13.765	13.07	0.69513		14.005	13.332	0.67237	0.68375	15.453	14.465	0.98852		15.122	14.365	0.75753											0.099947
458																										
459																										
460																										
461	13.855	13.187	0.66768		14.007	13.455	0.55169	0.60968	15.48	14.567	0.91295		15.49	14.531	0.95903											0.036782
462	14.389	12.558	1.8306		14.493	12.805	1.6876	1.7591		16.471			18.086	16.116	1.9703											0.35476
463	13.788	12.703	1.0851		13.894	13.409	0.48524	0.78516	14.884	14.434	0.44924		15.223	14.267	0.95562											0.16722
464	15.106	12.454	2.6516		15.17	12.747	2.4228	2.5372	16.701	16.257	0.44352															
465	15.654	12.452	3.2016		15.917	12.654	3.2624	3.232	18.919	20.524	-1.6052			18.108												2.4158
466	13.885	13.284	0.6008		13.269	12.548	0.72128	0.66104	15.116	14.305	0.81138		15.198	14.513	0.68557											-0.2076
467	13.925	12.841	1.084		14.007	12.981	1.0267	1.0553	16.454	15.033	1.4216		17.029	15.07	1.9589											-0.037284
468	13.743	13.158	0.58456		13.828	13.383	0.44478	0.51467	15.445	14.453	0.99226		15.195	14.376	0.81908											0.076719
469						13.431				14.524																
470	13.904	13.058	0.84675		14.025	13.356	0.66894	0.75784	15.487	14.642	0.8449		15.512	14.544	0.9676											0.098283
471					14.458					15.686																
472	13.731	12.901	0.82998		13.784	13.157	0.62649	0.72824	15.277	14.406	0.87134		15.519	14.441	1.0786											-0.034983
473																										
474	13.628	12.895	0.73297		13.741	13.031	0.71023	0.7216	15.338	14.287	1.0507		15.507	14.381	1.1253											-0.09443
475	13.638	13.146	0.49223		13.825	13.39	0.43566	0.46395	15.195	14.456	0.73866		15.179	14.298	0.88083											0.15847
476																										
477	13.627	12.981	0.64528		13.757	13.19	0.56699	0.60613	15.542	14.302	1.2396		15.236	14.391	0.84479		14.31	0.88	15.19		0.0079594	-0.080855		-0.35161	-0.04565	-0.088815
478	13.724	13.163	0.56136		13.905	13.455	0.44953	0.50544	15.057	14.412	0.64482		15.158	14.363	0.79522											0.049049
479	13.88	13.164	0.71539		13.983	13.415	0.56754	0.64147	15.601	14.606	0.99514		15.565	14.563	1.0028											0.043096
480	13.843	13.068	0.77572		14.022	13.424	0.59724	0.68648	16.311	14.803	1.5083		16.051	14.693	1.3583											0.11032
481	14.818	12.552	2.2657		15.002	12.731	2.2702	2.268	20.196	16.971	3.2243		19.546	17.069	2.477											-0.097549
482	13.807	13.201	0.60607		13.973	13.512	0.46052	0.53329	15.405	14.464	0.94169		15.271	14.405	0.86635											0.058829
483																										
484	13.829	13.154	0.67445		14.094	13.412	0.68254	0.67849	15.322	14.516	0.80604		15.32	14.454	0.86541											0.061949
485	13.824	13.296	0.52797		13.917	13.451	0.46588	0.49692	15.356	14.465	0.89063		15.371	14.434	0.93708											0.031467
486	13.795	13.292	0.50274		13.933	13.589	0.34433	0.42354	15.261	14.404	0.85674		15.221	14.34	0.88094											0.063635
487	13.639								15.638				15.9	14.589	1.3114											
488	13.886	12.555	1.3309		13.773			1.3309	16.829				16.453	15.083	1.3694											
489	13.821	13.41	0.41058		13.958	13.624	0.33472	0.37265	15.483	14.506	0.97639		15.445	14.475	0.96994											0.03103
490	13.83	13.158	0.67243		13.981	13.451	0.52975	0.60109	15.795	14.719	1.0763		15.942	14.633	1.309											0.086047
491	13.824	13.198	0.62672		13.947	13.461	0.4868	0.55676	15.464	14.613	0.85111		15.453	14.51	0.94296											0.10288
492																										
493																										
494																										
495	13.76	13.06	0.69952		13.869	13.321	0.54824	0.62388	15.425	14.503	0.92181		15.394	14.489	0.90462											0.014071
496	13.754	13.131	0.62265		13.921	13.362	0.55861	0.59063	15.571	14.529	1.0421		15.582	14.41	1.1725											0.1188
497	14.563	12.454	2.1083		14.782	12.676	2.1058	2.107		16.543				16.727												-0.18393
498	13.836	13.238	0.59805		13.894	13.332	0.56157	0.57981	15.185	14.525	0.66004		15.177	14.483	0.69452											0.042151
499	15.714				16.193	12.741	3.4516	3.4516		19.267			18.768	17.644	1.1237											1.6235
500	13.856	13.321	0.53447		13.963	13.529	0.4341	0.48429	15.596	14.505	1.0909		15.428	14.553	0.87492											-0.047462
501	13.828	13.058	0.77076		13.98	13.313	0.66706	0.71891	15.297	14.528	0.76933		15.578	14.457	1.1215											0.07139
502																										
503	14.663	12.754	1.9098		14.845	13.067	1.778	1.8439	16.568	15.865	0.70264		16.056	15.721	0.33548											0.14457
504	13.883	12.707	1.1758		13.886	12.748	1.1383	1.157	15.902	15.123	0.77904		16.011	15.209	0.80207											-0.08657
505	13.781	13.181	0.60036		13.942	13.472	0.46925	0.53481	15.662	14.592	1.0693		15.789	14.406	1.3831											0.18633
506																										
507						12.927																				
508	13.871	13.343	0.52769		14.061	13.569	0.49185	0.50977	15.408	14.517	0.89112		15.39	14.516	0.87363											0.0010681
509	14.034	13.177	0.85668		14.06	13.41	0.64965	0.75317	15.509	14.805	0.70457		15.611	14.665	0.94604											0.13964
510	14.245	12.848	1.3963		14.337	13.029	1.308	1.3521	16.543	15.153	1.3893		16.203	15.341	0.8622											-0.18771
511	13.809	13.261	0.54791		14.024	13.588	0.43646	0.49219	15.443	14.689	0.75357		15.441	14.501	0.93987											0.18753
512	15.651	12.608	3.0422		15.647	12.746	2.901	2.9716	18.818																	
513																										
514	13.918	13.298	0.62051		14.065	13.519	0.54621	0.58336	15.324	14.591	0.73334		15.437	14.628	0.80848											-0.037448
515																										
516																										
517	15.13	12.718	2.4118		15.248	12.875	2.3732	2.3925	17.595	16.541	1.054															
518																										
519	13.921	13.195	0.72542		14.212	13.668	0.54362	0.63452	15.629	14.749	0.87983		15.917	14.766	1.1505		14.47	1.15	15.62		-0.27935	-0.29617		-0.0091763	-0.29665	-0.016821
520	13.845	13.151	0.69369		13.971	13.356	0.61499	0.65434	15.456	14.656	0.80014		15.641	14.676	0.96507											-0.020038
521																										
522	14.89	12.551	2.339		15.057	12.827	2.2299	2.2844	24.666	18.051	6.6156		19.015	17.084	1.9308											0.96613
523					15.723																					
524	14.197	12.716	1.4809		14.331	12.993	1.3375	1.4092	16.593	15.625	0.96738		17.967	15.759	2.2079											-0.1336
525										14.52																
526	13.774	13.206	0.56774		13.798	13.351	0.44662	0.50718	15.407	14.328	1.0783		15.309	14.343	0.96604											-0.014834
527	14.745	12.632	2.1133		15.032	12.829	2.2022	2.1578	19.604	17.541	2.0622			17.086												0.45534
528	13.858	13.33	0.52794		13.972	13.501	0.47111	0.49953	15.081	14.322	0.75891		14.902	14.276	0.62578											0.046232
529	13.919	13.258	0.66103		14.083	13.504	0.57895	0.61999	15.759	14.696	1.0627		15.834	14.717	1.1167											-0.0214
530																										
531																										
532	14.318	12.856	1.4618		14.371	13.08	1.2905	1.3762	16.867	15.95	0.91708		18.242	16.018	2.2236											-0.06802
533	16.494	12.591	3.9029		16.515	12.797	3.7174	3.8102	21.741	18.406	3.3355		18.153													
534																										
535	14.777	12.473	2.3049		15.076	12.642	2.434	2.3694	17.678	17.042	0.63528			17.259												-0.21708
536																										
537																										
538	14.106	12.723	1.3822		14.267			1.3822	17.359				16.574	15.532	1.0428											
539	15.121	12.781	2.3396		14.958	12.879	2.079	2.2093	18.426	16.95	1.476		17.686	16.876	0.81018											0.074423
540	13.983	13.19	0.79254		14.054	13.37	0.68408	0.73831	15.75	14.662	1.0884		15.594	14.706	0.88819											-0.043804
541	13.836	13.222	0.61398		13.92	13.417	0.50292	0.55845	15.37	14.455	0.91545		15.303	14.494	0.80912											-0.039528
542	13.727	13.029	0.69783		14.011	13.461	0.54984	0.62383	15.809	14.7	1.1091		15.541	14.515	1.0266											0.18544
543	14.642	12.749	1.8934		14.718	12.966	1.752	1.8227		16.681			18.213	16.512	1.7016											0.1692
544	15.708	12.663	3.0455		15.967	12.81	3.1564	3.101	19.548				16.953	17.491	-0.53723											
545	13.873	13.275	0.59835		14.028	13.49	0.53775	0.56805	15.522	14.611	0.91066		15.526	14.487	1.0392											0.12466
546																										
547	13.8	13.204	0.59604		13.947	13.403	0.54356	0.5698	15.599	14.557	1.042		15.444	14.516	0.9274											0.040746
548	13.995	13.21	0.78483		14.174	13.473	0.70095	0.74289	16.109	14.805	1.3046		15.815	14.7	1.1146											0.10438
549																										
550	13.901	13.045	0.85619		14.084	13.286	0.79809	0.82714	15.536	14.691	0.84439		15.489	14.56	0.92915											0.13163
551																										
552	14.786	12.72	2.0658		15.168	13.054	2.1137	2.0897	15.902	16.097	-0.19468		16.35	15.639	0.71099											0.45803
553																										
554																										
555	14.427	12.733	1.6932		14.6	12.886	1.7148	1.704	18.025	16.104	1.9209		18.103	16.302	1.8007											-0.19775
556																										
557		11.951			14.335	13.523	0.81292	0.81292	15.845	14.527	1.3179		13.884	12.788	1.0968											1.7397
558	13.968	13.439	0.52884		14.074	13.652	0.42177	0.47531	15.563	14.642	0.92108		15.665	14.68	0.98573		14.29	0.98	15.27		-0.35232	-0.38968		-0.2934	-0.39541	-0.037358
559	14.01	13.288	0.7224		14.078	13.505	0.57311	0.64775	15.697	14.707	0.99004		15.75	14.713	1.0373											-0.0064859
560																										
561																										
562	13.893	13.24	0.65328		14.128	13.64	0.48802	0.57065	15.419	14.683	0.73599		15.462	14.473	0.98871											0.21036
563	14.276	12.805	1.4711		14.208	13.066	1.1424	1.3067	18.623	15.68	2.9431		18.142	15.649	2.4931											0.031182
564																										
565	13.95	13.11	0.84062		14.079	13.386	0.69375	0.76718	16.225	14.893	1.3313		15.823	14.744	1.0796											0.1497
566																										
567	14.534	12.8	1.7334		14.737	13.005	1.7326	1.733	22.176	16.403	5.7734		19.574	16.368	3.2058											0.034231
568																										
569	13.898	13.418	0.47986		14.151	13.588	0.56337	0.52161	15.756	14.621	1.1348		15.623	14.623	0.99964											-0.0021772
570	15.096	12.809	2.2868		15.147	12.947	2.1997	2.2432	16.512	16.542	-0.029531		19.109	17.085	2.0233											-0.54345
571																										
572																										
573	14.019	13.201	0.81846		14.14	13.431	0.70899	0.76373	15.824	14.798	1.0259		15.72	14.824	0.8951											-0.026592
574	13.987	13.434	0.5528		14.18	13.702	0.47818	0.51549	15.733	14.682	1.0507		15.498	14.567	0.93061											0.11475
575	14.081	13.537	0.54365		14.226	13.687	0.53943	0.54154	15.569	14.726	0.84371		15.712	14.794	0.9184											-0.06793
576	14.742	12.63	2.1121		15.079	12.972	2.1065	2.1093	20.244	17.413	2.8306		18.567	16.407	2.1599											1.0065
577																										
578	14.8	12.876	1.9238		14.948	13.098	1.8498	1.8868		17.322			17.564	16.065	1.4983											1.257
579	13.919	13.421	0.49756		13.998	13.685	0.31312	0.40534	15.401	14.559	0.8419		15.431	14.537	0.89462											0.02287
580	14.142	13.533	0.60854		14.262	13.78	0.48184	0.54519	15.643	14.851	0.79217		15.725	14.769	0.95602		14.56	0.92	15.48		-0.29121	-0.20906		-0.16338	-0.24508	0.082143
581	14.001	13.402	0.59885		14.15	13.699	0.45139	0.52512	15.753	14.755	0.99872		15.801	14.597	1.2039											0.15795
582	14.034	13.423	0.61124		14.168	13.721	0.44774	0.52949	15.626	14.831	0.79515		15.671	14.7	0.97184											0.13138
583	13.938	13.307	0.63084		14.096	13.461	0.6351	0.63297	15.591	14.668	0.92275		15.683	14.634	1.0491											0.034289
584	14.209	12.852	1.3568		14.257	13	1.2576	1.3072	18.895	15.288	3.6066		18.3	15.676	2.6235											-0.38831
585	14.11	12.883	1.2275		14.16	13.133	1.0268	1.1272	19.291	15.416	3.8752		18.564	15.369	3.1947											0.046116
586	14.989	12.838	2.1507		15.351	13.098	2.2536	2.2021	17.222	17.686	-0.46393			16.454												1.2323
587																										
588																										
589	14.253	12.703	1.5501					1.5501																		
590	14.016					13.462			15.932	14.759	1.1726															
591	15.431	12.651	2.7801		15.88	12.705	3.1756	2.9779	18.183				17.061	18.835	-1.7745											
592	15.639	12.653	2.9854		15.68	12.794	2.8855	2.9354		18.039				17.784												0.25521
593	14.149	12.924	1.2251		14.279	13.068	1.2106	1.2179	17.346	15.455	1.8905		18.278	15.39	2.8883											0.065345
594																										
595					14.624																					
596	14.106	13.377	0.72901		14.25	13.669	0.58156	0.65528	16.093	14.78	1.3128		16.061	14.821	1.2408											-0.040933
597	16.611	12.69	3.9207		16.029	12.9	3.1287	3.5247	17.656																	
598	15.142	12.663	2.4788		15.234	12.856	2.3781	2.4285	17.963	16.93	1.0331			17.725												-0.79488
599	14.119	13.613	0.5063		14.198	13.69	0.50737	0.50683	15.786	14.696	1.0897		15.77	14.81	0.96004											-0.11364
600	15.318	12.674	2.6437		15.27	12.865	2.4049	2.5243		17.18				17.679												-0.49907
601					14.067					14.816																
602	14.104	13.415	0.68822		14.15	13.607	0.54306	0.61564	15.736	14.765	0.97145		15.761	14.785	0.97557											-0.02048
603	14.058	13.299	0.75849		14.129			0.75849	15.769				16.135	14.991	1.1444											
604	13.997	13.485	0.51142		14.188	13.762	0.42617	0.46879	14.639	14.67	-0.030703		15.635	14.585	1.0497											0.084858
605																										
606	14.748	12.936	1.8114		14.755	13.071	1.6841	1.7477		16.044			19.97	16.648	3.3224											-0.60402
607	15.495	12.769	2.7268			13.278		2.7268					17.462	17.793	-0.33082											
608	14.841	12.766	2.0749		14.825	12.942	1.8837	1.9793	16.609	16.769	-0.15989		16.491	16.581	-0.090136											0.18779
609	14.018	13.448	0.57024		14.18	13.774	0.40603	0.48813	15.709	14.751	0.95754		15.592	14.665	0.9271											0.086301
610																										
611	14.13	13.601	0.52887		14.295	13.687	0.60869	0.56878	15.804	14.781	1.0221		15.678	14.82	0.85837											-0.03808
612	14.62	12.927	1.6931		14.733	13.15	1.5823	1.6377		16.241			17.598	16.502	1.0956											-0.26106
613																										
614																										
615	15.182	12.726	2.456		15.328	12.908	2.4191	2.4376	18.183	19.884	-1.7014			19.404												0.47969
616	14.528	12.926	1.6011		14.565	13.179	1.3856	1.4934	19.733	16.222	3.5113		17.943	16.186	1.7564											0.035439
617						13.471			16.848	15.109	1.7385															
618																										
619	14.077	13.528	0.54886		14.226	13.752	0.47356	0.51121	15.727	14.81	0.91749		15.684	14.823	0.86084											-0.013402
620	14.159	13.547	0.61237		14.275	13.67	0.6052	0.60879	16.114	14.939	1.1748		15.993	14.9	1.0928											0.038462
621	14.773	12.87	1.9038		14.956	12.954	2.0021	1.9529	18.745	17.605	1.1396		17.844	16.773	1.0711											0.83212
622																										
623																										
624	13.975	13.416	0.55929		14.018	13.649	0.36897	0.46413	15.338	14.58	0.75764		15.576	14.675	0.90122											-0.094393
625																										
626	14.661	12.948	1.714		14.666	13.107	1.5598	1.6369		16.137				16.156												-0.01899
627	14.138	13.582	0.55632		14.208	13.84	0.36768	0.462	15.529	14.817	0.71196		15.89	14.78	1.1109											0.037245
628	14.185	13.601	0.58438		14.398	13.777	0.62077	0.60257	15.221	14.265	0.95583		15.279	14.365	0.91425											-0.10001
629	14.086	13.469	0.61671		13.719	13.667	0.051703	0.33421	15.684	14.765	0.91957		15.457	14.716	0.74054											0.04861
630	14.153	13.38	0.77324		14.312	13.597	0.7145	0.74387	15.881	14.928	0.95361		15.901	14.947	0.9538											-0.019312
631																										
632	14.076	13.561	0.51455		14.282	13.964	0.3179	0.41622	16.234	14.898	1.3358		16.796	15.338	1.4579											-0.43951
633																										
634	14.876	12.63	2.2454		14.891	12.887	2.0043	2.1249	20.457	17.609	2.8472			17.253												0.35678
635	15.803	12.806	2.9972		15.634	13.079	2.5549	2.7761		19.434																
636	14.568	12.877	1.6903		14.659	13.056	1.6026	1.6465	22.748	16.132	6.616			16.307												-0.17508
637	14.829	13.044	1.7842		15.045	13.179	1.8661	1.8251		16.47				16.422												0.04855
638	14.371	13.439	0.93183		14.554	13.702	0.85228	0.89205	16.48	15.21	1.2701		16.054	15.161	0.89369											0.049523
639	14.418	13.498	0.92002		14.505	13.724	0.78056	0.85029	17.502	15.546	1.9561		17.007	15.604	1.4031											-0.058082
640	15.082	12.838	2.2432		15.248	12.993	2.2551	2.2492		17.169			17.969	17.321	0.64775											-0.15227
641	14.051	13.439	0.61204		14.133	13.648	0.48516	0.5486	15.751	14.788	0.96324		16.112	14.835	1.2763											-0.047068
642																										
643	15.062	12.66	2.4015		15.006	12.808	2.1977	2.2996	18.567	18.556	0.011915			17.796												0.75984
644	14.229	13.471	0.75873		14.71	13.862	0.84814	0.80344	16.055	14.998	1.0567		15.811	14.965	0.8461											0.03269
645	14.178	13.645	0.53229		14.228	13.867	0.36147	0.44688	15.287	14.762	0.52454		15.731	14.706	1.0242											0.055851
646	15.822	12.888	2.9339		16.177	13.051	3.1256	3.0298	20.508				19.743													
647																										
648	14.108	13.507	0.60101		14.5	13.909	0.59084	0.59592	15.952	15.086	0.86577		15.797	14.787	1.0094											0.29905
649	14.25	13.684	0.56572		14.31	13.867	0.44298	0.50435	15.691	15.001	0.68939		15.942	14.947	0.99484											0.053863
650	14.362	13.051	1.3106		14.403			1.3106	17.309				18.506	16.192	2.3136											
651	14.179	13.317	0.86193		14.228			0.86193	16.363				16.487	15.184	1.3032											
652	14.135	13.551	0.58348		14.762	14.02	0.74156	0.66252	16.607	15.078	1.529		15.713	14.795	0.91894											0.28332
653	14.444	13.697	0.74667		14.475	14.049	0.42566	0.58616	16.16	15.172	0.98762		16.637	15.331	1.3062											-0.15835
654	15.139	12.949	2.19		15.359	13.232	2.127	2.1585		19.679				17.5												2.1796
655																										
656	14.188	13.22	0.96797		14.167	13.353	0.81428	0.89112	16.328	15.081	1.2467		16.335	15.043	1.2924											0.038069
657	14.194	13.533	0.66094		14.417	13.926	0.49178	0.57636	15.771	14.967	0.80445		15.783	14.822	0.96154											0.14494
658																										
659						13.625			16.733	15.582	1.1506															
660					14.75																					
661	14.58	12.892	1.688		14.734	13.11	1.6236	1.6558		16.171			19.076	16.316	2.76											-0.14528
662					14.901																					
663																										
664	15.432	13.058	2.374		15.334	13.296	2.0381	2.206	16.878	17.179	-0.30084		17.831	16.889	0.94182											0.28965
665	14.203	13.643	0.55986		14.32	13.826	0.49417	0.52702	16.098	14.884	1.2143		15.694	14.817	0.87747											0.066752
666																										
667	14.255	13.404	0.85137		14.47	13.721	0.74911	0.80024	16.896	15.288	1.608		16.312	15.113	1.1995											0.17573
668	15.274	12.841	2.4323		15.509	13.049	2.4599	2.4461		17.19				17.871												-0.68146
669																										
670	15.477	12.999	2.4782		15.779	13.208	2.5705	2.5243		17.499				18.81												-1.311
671																										
672	14.147	13.697	0.44937		14.486	13.805	0.68005	0.56471	15.604	14.727	0.87725		15.954	14.943	1.0116											-0.21568
673	14.564	13.038	1.5261		14.778	13.216	1.5625	1.5443		17.098				16.527												0.57124
674																										
675	14.647	12.945	1.7018		14.689	13.075	1.6135	1.6577		16.328				16.47												-0.14248
676	14.063	13.566	0.49689		14.269	13.901	0.36789	0.43239	15.579	14.642	0.93707		15.441	14.585	0.85578											0.056703
677	15.104	13.049	2.055		15.249	13.226	2.0224	2.0387	19.16	16.975	2.1846															
678	14.241	13.493	0.74786		14.245	13.725	0.51999	0.63393	15.842	14.898	0.94418		15.812	14.805	1.0064											0.092949
679																										
680	14.46	13.065	1.3957		14.491	13.153	1.3379	1.3668	17.22	15.727	1.4932			16.065												-0.33786
681	14.228	13.542	0.68633		14.403	13.829	0.57415	0.63024	16.097	15.255	0.84141		16.204	15.118	1.0867											0.13771
682	14.13	13.391	0.73911		14.238	13.637	0.60084	0.66998	15.935	14.761	1.1746		15.833	14.844	0.98857											-0.08333
683	14.333	13.163	1.1697		14.585	13.431	1.1534	1.1616	17.673	15.832	1.8408		17.226	15.469	1.7576											0.36371
684	14.513	13.131	1.382		14.568	13.387	1.1808	1.2814	18.102	16.309	1.7926		17.929	16.033	1.8966											0.27628
685	16.221	13.081	3.1398			13.381		3.1398						18.37												
686	14.48	13.325	1.1552		14.561			1.1552	18.195				18.456	15.683	2.7736											
687	14.322	13.653	0.66876		14.42	13.745	0.67475	0.67175	15.912	15.038	0.87444		15.092	15.07	0.021702											-0.032105
688																										
689																										
690	14.776	12.992	1.7841					1.7841	18.1				18.659	17.958	0.70104											
691	14.592	13.615	0.97658		14.825	13.938	0.88703	0.9318	16.555	15.519	1.0362		16.217	15.416	0.80106											0.10274
692	14.214	13.561	0.65307		14.347	13.807	0.53955	0.59631	15.881	14.996	0.88512		14.98	14.848	0.1323											0.1479
693	15.436	12.956	2.4797		15.511	13.172	2.3389	2.4093		18.467			18.321													
694	14.801	13.204	1.5973		14.964	13.4	1.5638	1.5806	17.546	15.993	1.5528		18.199	16.158	2.0412											-0.16526
695																										
696	14.414	13.083	1.3319		14.765	13.297	1.4679	1.3999	17.669	16.383	1.2863		18.272	15.909	2.3628											0.47429
697	15.388	13.034	2.354		15.587	13.192	2.3954	2.3747	18.215	16.487	1.728		19.172	16.572	2.5998											-0.085674
698	14.271	13.727	0.54398		14.485	13.928	0.55752	0.55075	15.968	15.104	0.86404		15.84	14.834	1.0062											0.27019
699	14.732	13.039	1.6922		14.901	13.302	1.5988	1.6455	17.303	18.387	-1.0839			17.289												1.0979
700																										
701	14.831	13.169	1.6624		14.943	13.431	1.5118	1.5871		16.504				17.113												-0.60913
702	14.718	13.132	1.5856		14.673	13.339	1.3338	1.4597		15.866			20.145	16.542	3.6026											-0.6765
703	15.587	12.898	2.6893		16.187	13.14	3.0472	2.8682																		
704																										
