star	x_fwhm	y_fwhm	avg_fwhm
1	4.11885	3.6678	3.6678
2	3.3605	3.0352	3.0352
3	3.3701499999999998	3.0951000000000004	3.0951000000000004
4	3.02455	2.9074	2.9074
5	3.2608	3.1251	3.1251
6	3.1825	3.1832	3.1832
7	3.53465	3.2931999999999997	3.2931999999999997
8	3.1312	2.8991	2.8991
9	3.1752	2.9241	2.9241
10	3.0324	2.8579	2.8579
11	3.1409	3.2013	3.2013
12	3.2591	2.9324	2.9324
13	3.1487	3.0495	3.0495
14	3.53535	3.1505	3.1505
15	2.8226	2.7196	2.7196
16	3.22285	3.1277	3.1277
17	3.25505	2.8927	2.8927
18	3.3053	3.0639	3.0639
19	3.01225	3.0111	3.0111
20	3.7774	3.2419	3.2419
21	2.99585	3.05505	3.05505
22	3.3811	3.1102499999999997	3.1102499999999997
23	3.3044	3.13895	3.13895
24	3.53315	3.2569	3.2569
25	3.079	2.8612	2.8612
26	3.38835	3.0411	3.0411
27	3.3669	3.2352499999999997	3.2352499999999997
28	3.183	2.8626	2.8626
29	3.1093	2.8755	2.8755
30	3.372	3.2906000000000004	3.2906000000000004
31	2.96895	2.9238	2.9238
32	2.9228	2.8014	2.8014
33	3.2377000000000002	3.03425	3.03425
34	3.0697	2.8643	2.8643
35	3.4371	3.0939	3.0939
36	2.9814499999999997	2.754	2.754
37	2.97525	2.93485	2.93485
38	2.9007	2.8433	2.8433
39	3.023	2.7742	2.7742
40	3.317	2.934	2.934
41	3.0404	2.8242	2.8242
42	3.1315	2.8681	2.8681
43	3.49995	3.11485	3.11485
44	3.0621	2.9977	2.9977
45	3.1455	2.7301	2.7301
46	3.8993	3.5539	3.5539
47	3.2295499999999997	3.1567	3.1567
48	3.3226500000000003	3.0271	3.0271
49	3.0991999999999997	2.9377	2.9377
50	3.69	2.84305	2.84305
51	3.32145	2.9205	2.9205
52	3.0852500000000003	3.0169	3.0169
53	2.9626	2.7962	2.7962
54	3.0844	2.87775	2.87775
55	3.101	3.04145	3.04145
56	3.54565	3.2542999999999997	3.2542999999999997
57	3.1115	2.8994	2.8994
