star	x_fwhm	y_fwhm	avg_fwhm
534	6.3126	3.922	3.922
535	2.5074	3.7734	3.7734
536	0.0	0.0	0.0
537	3.5622	3.5569	3.5569
538	5.0839	2.9215	2.9215
539	5.3337	5.3108	5.3108
540	3.349	3.212	3.212
541	3.6583	3.1999	3.1999
542	0.0	0.0	0.0
543	3.054	3.3484	3.3484
544	0.0	0.0	0.0
545	3.9458	3.4824	3.4824
546	5.502	4.5777	4.5777
547	3.8751	2.6666499999999997	2.6666499999999997
548	4.4903	3.9689	3.9689
549	3.5811	5.1102	5.1102
550	2.8228	4.3336	4.3336
551	3.5168	5.2285	5.2285
552	4.5088	4.7117	4.7117
553	0.0	0.0	0.0
554	3.5113	5.3543	5.3543
555	2.825	3.4076	3.4076
556	5.11595	3.4276	3.4276
557	0.0	0.0	0.0
558	3.12645	2.6059	2.6059
559	2.9249	2.9068	2.9068
560	2.7465	3.44205	3.44205
561	0.0	0.0	0.0
562	4.5457	4.1932	4.1932
563	3.2863	3.1218	3.1218
564	0.0	0.0	0.0
565	5.0194	3.857	3.857
566	0.0	0.0	0.0
567	4.1640999999999995	4.7965	4.7965
568	0.0	0.0	0.0
569	3.81215	3.2465	3.2465
570	2.98	2.3800499999999998	2.3800499999999998
571	2.43605	0.0	0.0
572	4.1724499999999995	4.4828	4.4828
573	4.7938	4.1088000000000005	4.1088000000000005
574	4.30575	3.8902	3.8902
575	3.6171	2.6246	2.6246
576	5.7998	4.3004	4.3004
577	2.7092	2.3796	2.3796
578	2.4449	2.7084	2.7084
579	2.5146	2.162	2.162
580	2.8652	2.9476	2.9476
581	4.5072	4.1091	4.1091
582	3.834	3.4554	3.4554
583	4.6376	3.7237	3.7237
584	2.8441	2.9211	2.9211
585	2.67705	2.5867	2.5867
586	4.1767	6.38425	6.38425
587	5.7718	4.2095	4.2095
588	0.0	0.0	0.0
589	2.9983	2.8708	2.8708
590	2.68335	3.0201000000000002	3.0201000000000002
591	2.4664	0.0	0.0
592	2.8307	3.143	3.143
593	3.0773	2.9876	2.9876
594	0.0	0.0	0.0
595	0.0	0.0	0.0
596	3.5916	4.3632	4.3632
597	4.9057	4.15895	4.15895
598	3.95675	4.1114	4.1114
599	3.6010999999999997	2.9841	2.9841
600	3.3608	2.5604	2.5604
601	4.44555	3.9059999999999997	3.9059999999999997
602	4.2466	2.7868	2.7868
603	4.6203	2.3784	2.3784
604	4.291	3.74965	3.74965
605	2.7233	2.6198	2.6198
606	3.8362	3.3693	3.3693
607	0.0	0.0	0.0
608	2.9837499999999997	3.3008	3.3008
609	4.7575	3.6611000000000002	3.6611000000000002
610	0.0	0.0	0.0
611	3.0128	3.2425	3.2425
612	2.92265	2.4235	2.4235
613	0.0	0.0	0.0
614	0.0	0.0	0.0
615	4.9139	2.6439	2.6439
616	4.24735	5.276	5.276
617	3.27495	3.69725	3.69725
618	0.0	0.0	0.0
619	3.8777999999999997	3.5998	3.5998
620	3.5549	3.0112	3.0112
621	3.7157999999999998	3.9466	3.9466
622	3.3177	3.74505	3.74505
623	4.8486	2.5732	2.5732
624	3.0304	2.6358	2.6358
625	4.5817499999999995	2.7667	2.7667
626	2.9886999999999997	2.5918	2.5918
627	4.486700000000001	3.2138999999999998	3.2138999999999998
628	4.5885	8.6045	8.6045
629	3.38535	3.1597	3.1597
630	3.8649	3.5645	3.5645
631	4.5524	8.6045	8.6045
632	0.0	0.0	0.0
633	0.0	0.0	0.0
634	2.6572	2.85015	2.85015
635	4.7344	4.42625	4.42625
636	2.73975	3.0891	3.0891
637	5.1216	2.29265	2.29265
638	4.1208	3.9233	3.9233
639	4.9682	4.3421	4.3421
640	3.5269	4.0456	4.0456
641	4.4352	4.04995	4.04995
642	3.5367499999999996	3.9754	3.9754
643	3.5164	3.2169	3.2169
644	3.41	4.1160499999999995	4.1160499999999995
645	3.60405	2.4802	2.4802
646	2.7578	2.52455	2.52455
647	2.8856	4.1533	4.1533
648	4.8909	3.8801	3.8801
649	3.2963	2.6212	2.6212
650	3.1731	3.1848	3.1848
651	4.3223	3.6897	3.6897
652	4.4212	4.2085	4.2085
653	2.3699	4.9681	4.9681
654	5.2779	3.975	3.975
655	0.0	0.0	0.0
656	2.7473	6.0163	6.0163
657	4.3523	4.1524	4.1524
658	0.0	0.0	0.0
659	3.6811	3.1272	3.1272
660	0.0	0.0	0.0
661	3.4651	4.5996500000000005	4.5996500000000005
662	0.0	0.0	0.0
663	3.44975	4.63465	4.63465
664	4.5731	4.9043	4.9043
665	4.2247	3.8287	3.8287
666	3.7763	4.3228	4.3228
667	4.652	4.6265	4.6265
668	3.3753	2.4855	2.4855
669	4.7474	4.1257	4.1257
670	3.5119	3.0906	3.0906
671	0.0	0.0	0.0
672	4.3193	7.302350000000001	7.302350000000001
673	3.324	4.6115	4.6115
674	0.0	0.0	0.0
675	3.3288	4.1717	4.1717
676	2.6761	2.8259	2.8259
677	4.6577	3.81115	3.81115
678	3.1344000000000003	3.4006	3.4006
679	4.3798	7.3092	7.3092
680	3.1514	2.7470499999999998	2.7470499999999998
681	3.2064	2.47595	2.47595
682	2.6906499999999998	2.8383	2.8383
683	4.9099	5.3594	5.3594
684	3.5812	3.3408	3.3408
685	4.0383	3.6965500000000002	3.6965500000000002
686	3.0406	2.8749000000000002	2.8749000000000002
687	4.8402	3.2189	3.2189
688	3.0406	2.8749000000000002	2.8749000000000002
689	4.2463	3.53025	3.53025
690	0.0	2.2761	2.2761
691	5.0407	3.6386	3.6386
692	3.4943999999999997	4.1744	4.1744
693	4.53475	3.6476	3.6476
694	4.01	3.1748	3.1748
695	4.8111	3.7854	3.7854
696	3.6743	4.787	4.787
697	3.6952	3.1533	3.1533
698	4.3406	3.5663	3.5663
699	2.8585	2.8715	2.8715
700	0.0	0.0	0.0
701	2.9672	2.7689	2.7689
702	4.35025	3.6802	3.6802
703	2.965	2.9354	2.9354
704	0.0	2.534	2.534
705	4.0154	3.6124	3.6124
706	3.1234	2.64875	2.64875
707	3.3723	3.2074	3.2074
708	5.2236	4.0925	4.0925
709	3.0012	2.7677	2.7677
710	4.0365	3.3489	3.3489
711	0.0	0.0	0.0
712	6.1662	3.8493	3.8493
713	0.0	0.0	0.0
714	4.0581	5.5131499999999996	5.5131499999999996
715	0.0	0.0	0.0
716	6.1842	3.9329	3.9329
717	3.4809	4.6338	4.6338
718	4.531	3.7247500000000002	3.7247500000000002
719	5.4695	3.2676	3.2676
720	3.21325	2.28	2.28
721	2.94775	3.6736500000000003	3.6736500000000003
722	4.2571	2.8744	2.8744
723	6.5884	3.3931	3.3931
724	3.2687	2.827	2.827
725	4.248	2.8744	2.8744
726	3.0606	3.1411	3.1411
727	3.8735	4.12385	4.12385
728	4.6296	3.7535	3.7535
729	0.0	0.0	0.0
730	5.1403	3.241	3.241
731	0.0	0.0	0.0
732	4.47285	3.5072	3.5072
733	3.9735	4.2955	4.2955
734	4.0077	3.0406	3.0406
735	3.9658499999999997	2.9903	2.9903
736	4.5023	3.8283	3.8283
737	3.4437	3.6056	3.6056
738	0.0	0.0	0.0
739	0.0	0.0	0.0
740	5.1738	3.23025	3.23025
741	4.608	3.3168	3.3168
742	4.3964	3.5076	3.5076
743	4.2871	3.4057	3.4057
744	4.0392	4.2253	4.2253
745	0.0	0.0	0.0
746	4.043150000000001	3.5423	3.5423
747	3.0866	3.2426	3.2426
748	2.8095	2.50795	2.50795
749	2.97465	3.2157	3.2157
750	6.5972	3.4091500000000003	3.4091500000000003
751	4.2875	4.2038	4.2038
752	4.12195	4.2825	4.2825
753	4.6712	4.77625	4.77625
754	4.4002	3.7493	3.7493
755	4.5258	3.8191	3.8191
756	0.0	0.0	0.0
757	0.0	0.0	0.0
758	0.0	0.0	0.0
759	3.8589	4.644550000000001	4.644550000000001
760	2.98975	3.7492	3.7492
761	4.4895	3.8303	3.8303
762	2.3809	2.4245	2.4245
763	3.4314	3.7225	3.7225
764	4.5143	3.55355	3.55355
765	4.786	4.9892	4.9892
766	3.3932	3.1397	3.1397
767	4.5964	4.2671	4.2671
768	4.2212499999999995	2.8484	2.8484
769	3.5803	4.5554	4.5554
770	3.2591	2.1391999999999998	2.1391999999999998
771	0.0	0.0	0.0
772	0.0	0.0	0.0
773	4.6828	4.0518	4.0518
774	3.93775	2.9473	2.9473
775	3.4277499999999996	3.7453	3.7453
776	3.5566	2.9715	2.9715
777	5.7374	3.0875	3.0875
778	0.0	0.0	0.0
779	3.5839	3.7537	3.7537
780	0.0	0.0	0.0
781	3.4775	3.0529	3.0529
782	3.3248	2.6939	2.6939
783	0.0	0.0	0.0
784	0.0	0.0	0.0
785	0.0	0.0	0.0
786	3.1602	2.8569500000000003	2.8569500000000003
787	3.51405	3.7796	3.7796
788	3.5029	2.53295	2.53295
789	4.3333	4.38255	4.38255
790	5.2395	3.7638	3.7638
791	3.2874999999999996	2.6822	2.6822
792	4.2025	3.842	3.842
793	2.8535	2.7448	2.7448
794	3.3524000000000003	4.3645	4.3645
795	3.0899	1.96635	1.96635
796	3.9058	4.9128	4.9128
797	4.5532	3.9068	3.9068
798	3.0149	2.6584	2.6584
799	0.0	0.0	0.0
800	6.8533	4.5911	4.5911
801	3.34535	3.40835	3.40835
802	2.9273	3.1644	3.1644
803	3.8563	3.0841	3.0841
804	2.8312	4.907299999999999	4.907299999999999
805	3.5776	2.8625	2.8625
806	3.5043499999999996	2.5801	2.5801
807	3.2616	3.7705	3.7705
808	0.0	0.0	0.0
809	0.0	0.0	0.0
810	3.03865	3.8373	3.8373
811	4.574	6.2561	6.2561
812	2.5927	1.5021	1.5021
813	4.43535	3.14025	3.14025
814	4.7178	4.6792	4.6792
815	0.0	0.0	0.0
816	3.341	3.6733	3.6733
817	0.0	0.0	0.0
818	4.0125	3.4058	3.4058
819	4.8265	2.8855	2.8855
820	5.632149999999999	4.888199999999999	4.888199999999999
821	0.0	0.0	0.0
822	0.0	0.0	0.0
823	0.0	0.0	0.0
824	4.04475	2.4013	2.4013
825	4.035299999999999	3.3692	3.3692
826	4.7687	2.8496	2.8496
827	3.8824	4.2937	4.2937
828	3.2215	2.1286	2.1286
829	3.6479	2.6166	2.6166
830	4.3017	3.536	3.536
831	6.6224	4.437	4.437
832	3.2958	2.8291	2.8291
