star	x_fwhm	y_fwhm	avg_fwhm
1	3.644225	3.296175	3.296175
2	3.107025	2.8645	2.8645
3	3.1374500000000003	3.0566	3.0566
4	2.7815000000000003	2.6586	2.6586
5	2.936	2.867575	2.867575
6	2.977075	2.9212000000000002	2.9212000000000002
7	3.06265	3.0643	3.0643
8	3.011375	2.8693	2.8693
9	3.1121499999999997	2.925675	2.925675
10	2.934375	2.8347749999999996	2.8347749999999996
11	3.1045499999999997	3.114175	3.114175
12	3.2119	2.9486499999999998	2.9486499999999998
13	3.1138500000000002	3.0220000000000002	3.0220000000000002
14	3.1273	2.8236	2.8236
15	2.835075	2.8374249999999996	2.8374249999999996
16	3.217925	3.127375	3.127375
17	3.297575	2.9639249999999997	2.9639249999999997
18	3.3142	3.0912	3.0912
19	2.901475	2.9391	2.9391
20	0.0	0.0	0.0
21	2.97025	3.0846999999999998	3.0846999999999998
22	3.19875	3.1700999999999997	3.1700999999999997
23	3.283975	3.1805250000000003	3.1805250000000003
24	3.4753999999999996	3.249675	3.249675
25	3.0931750000000005	2.9514	2.9514
26	3.429675	3.056575	3.056575
27	3.230275	3.2285	3.2285
28	3.1919	2.935725	2.935725
29	3.1228	2.9742249999999997	2.9742249999999997
30	3.0470499999999996	3.09145	3.09145
31	3.0938499999999998	2.97585	2.97585
32	2.925625	2.763875	2.763875
33	3.26915	3.1350249999999997	3.1350249999999997
34	2.8946750000000003	2.7657249999999998	2.7657249999999998
35	3.4636250000000004	3.1384749999999997	3.1384749999999997
36	2.99755	2.7705	2.7705
37	3.0217	2.92105	2.92105
38	2.9998	2.8513	2.8513
39	3.0332749999999997	2.9270500000000004	2.9270500000000004
40	3.2428	3.012925	3.012925
41	3.063475	2.94055	2.94055
42	3.1392499999999997	2.9330249999999998	2.9330249999999998
43	3.3472999999999997	3.14785	3.14785
44	3.08935	3.0707500000000003	3.0707500000000003
45	3.22415	2.904275	2.904275
46	4.037625	3.7342	3.7342
47	3.262275	3.186175	3.186175
48	3.2185	3.0284750000000003	3.0284750000000003
49	3.14365	2.9956249999999995	2.9956249999999995
50	3.66675	2.8832750000000003	2.8832750000000003
51	3.315975	2.98325	2.98325
52	3.139175	3.060075	3.060075
53	2.9862	2.8057999999999996	2.8057999999999996
54	3.045475	2.8194	2.8194
55	3.1089	3.124825	3.124825
56	3.31785	3.21375	3.21375
57	3.1669	3.007425	3.007425
58	0.0	0.0	0.0
59	0.0	0.0	0.0
60	2.95635	3.45615	3.45615
61	3.11525	2.9320000000000004	2.9320000000000004
62	2.696075	2.76975	2.76975
63	0.0	0.0	0.0
64	2.40685	1.47695	1.47695
65	3.083875	2.893325	2.893325
66	3.39435	3.370975	3.370975
67	2.8306	2.8658	2.8658
68	3.2875	3.02785	3.02785
69	3.206825	3.1765	3.1765
70	2.723625	2.5702749999999996	2.5702749999999996
71	3.31465	3.0668499999999996	3.0668499999999996
72	2.947625	2.9741999999999997	2.9741999999999997
73	3.1511	3.0246	3.0246
74	3.2671	3.03725	3.03725
75	2.96725	2.823	2.823
76	3.09185	2.98075	2.98075
77	3.1349	3.033975	3.033975
78	3.0743	3.0979	3.0979
79	3.1228249999999997	2.9907500000000002	2.9907500000000002
80	3.212725	3.1696	3.1696
81	0.0	0.0	0.0
82	3.04535	2.8466500000000003	2.8466500000000003
83	3.1297249999999996	2.8919	2.8919
84	3.057125	3.6117999999999997	3.6117999999999997
85	2.93185	2.899575	2.899575
86	3.06845	2.8768000000000002	2.8768000000000002
87	3.197775	3.1201749999999997	3.1201749999999997
88	3.2838000000000003	3.6678499999999996	3.6678499999999996
89	2.955875	2.86325	2.86325
90	3.1547	3.019025	3.019025
91	3.21115	2.98095	2.98095
92	3.186825	2.970975	2.970975
93	3.148275	3.116275	3.116275
94	3.171125	3.165875	3.165875
95	3.0384	3.086125	3.086125
96	3.0754	3.01605	3.01605
97	3.0088999999999997	3.06955	3.06955
98	3.0832750000000004	3.081625	3.081625
99	3.08955	3.05355	3.05355
100	0.0	0.0	0.0
101	3.280475	3.3057	3.3057
102	3.2662	3.13445	3.13445
103	3.1048	3.0189250000000003	3.0189250000000003
104	3.1054250000000003	3.0713500000000002	3.0713500000000002
105	3.110625	3.2106500000000002	3.2106500000000002
106	4.334849999999999	3.0717499999999998	3.0717499999999998
107	2.46	2.3522	2.3522
108	3.22965	2.818475	2.818475
109	3.0250500000000002	2.920275	2.920275
110	3.584525	3.0576499999999998	3.0576499999999998
111	2.715825	2.492725	2.492725
112	3.4052	2.97825	2.97825
113	3.1998249999999997	3.10905	3.10905
114	3.2921249999999995	3.069625	3.069625
115	3.183525	3.2207999999999997	3.2207999999999997
116	3.021725	2.718775	2.718775
117	3.09015	2.937025	2.937025
118	2.9015	3.1306000000000003	3.1306000000000003
119	3.27935	3.303375	3.303375
120	3.132325	2.913775	2.913775
121	3.191375	3.0128	3.0128
122	3.12445	2.78745	2.78745
123	3.22275	3.252675	3.252675
124	3.266725	3.046525	3.046525
125	0.0	0.0	0.0
126	3.4335	3.2142	3.2142
127	0.0	0.0	0.0
128	3.49965	3.373775	3.373775
129	3.1716	3.1212999999999997	3.1212999999999997
130	3.2442	3.1073000000000004	3.1073000000000004
131	2.447175	2.299125	2.299125
132	0.0	0.0	0.0
133	0.590675	1.515325	1.515325
134	3.150775	2.929325	2.929325
135	0.0	0.0	0.0
136	2.89935	2.8374249999999996	2.8374249999999996
137	3.29035	3.1849499999999997	3.1849499999999997
138	3.6423	6.170425	6.170425
139	2.8507749999999996	2.8175	2.8175
140	3.44275	2.82005	2.82005
141	3.0540249999999998	2.855875	2.855875
142	3.04035	2.974875	2.974875
143	3.20885	3.0440750000000003	3.0440750000000003
144	2.7670500000000002	2.60625	2.60625
145	3.2973999999999997	2.95355	2.95355
146	3.35515	4.0565	4.0565
147	3.2440499999999997	3.211275	3.211275
148	2.715275	2.3811999999999998	2.3811999999999998
149	3.26835	3.248175	3.248175
150	3.1172	2.871025	2.871025
151	3.2717	3.248175	3.248175
152	3.48625	3.59905	3.59905
153	3.022025	3.1028000000000002	3.1028000000000002
154	2.8766499999999997	2.743325	2.743325
155	2.9081	2.752725	2.752725
156	3.113875	2.895425	2.895425
157	3.0937	2.84835	2.84835
158	3.0149999999999997	3.07695	3.07695
159	3.1856999999999998	3.0052	3.0052
160	3.156375	3.2375	3.2375
161	3.364	2.844725	2.844725
162	3.203325	2.90675	2.90675
163	3.42065	3.10825	3.10825
164	3.315225	3.177675	3.177675
165	3.1660000000000004	2.9512	2.9512
166	3.323875	3.24555	3.24555
167	3.177	3.280875	3.280875
168	4.291875	5.2904	5.2904
169	2.946975	2.7445500000000003	2.7445500000000003
170	3.08605	3.0722750000000003	3.0722750000000003
171	3.22125	3.351775	3.351775
172	3.34715	2.807575	2.807575
173	3.375575	3.1468499999999997	3.1468499999999997
174	3.5256749999999997	3.924225	3.924225
