star	x_fwhm	y_fwhm	avg_fwhm
1	3.4093999999999998	3.1805	3.1805
2	2.773	2.6486	2.6486
3	2.76135	2.7361	2.7361
4	2.6278	2.6043	2.6043
5	2.8152	2.7221	2.7221
6	2.8406	2.8419	2.8419
7	2.6145	2.6302000000000003	2.6302000000000003
8	2.6084	2.6449	2.6449
9	2.7176	2.6812	2.6812
10	2.6006	2.6662	2.6662
11	2.67155	2.7847	2.7847
12	2.79305	2.6953	2.6953
13	2.8255	2.9401	2.9401
14	2.8425	2.6914	2.6914
15	2.53245	2.5686	2.5686
16	2.73185	2.7752	2.7752
17	2.8901	2.6864	2.6864
18	2.9015	2.8261	2.8261
19	2.7057	2.7568	2.7568
20	0.0	0.0	0.0
21	2.6721	2.8115	2.8115
22	2.7009	2.8959	2.8959
23	2.789	2.8079	2.8079
24	3.0383	2.9112	2.9112
25	2.67595	2.6997	2.6997
26	3.094	2.8748	2.8748
27	2.70785	2.9034	2.9034
28	2.8299000000000003	2.67185	2.67185
29	2.6721	2.6862	2.6862
30	2.6503	2.71995	2.71995
31	2.6642	2.7539	2.7539
32	2.6558	2.6751	2.6751
33	2.69545	2.7356	2.7356
34	2.725	2.6420000000000003	2.6420000000000003
35	2.9498499999999996	2.8315	2.8315
36	2.72215	2.64705	2.64705
37	2.7383	2.7682	2.7682
38	2.7043	2.7219499999999996	2.7219499999999996
39	2.6281	2.6844	2.6844
40	2.7733	2.74625	2.74625
41	2.6993	2.72985	2.72985
42	2.7599	2.6831	2.6831
43	2.8924	2.872	2.872
44	2.6425	2.7518	2.7518
45	2.8311	2.7488	2.7488
46	3.6599	3.5505	3.5505
47	2.7311	2.8804	2.8804
48	2.6429	2.7288	2.7288
49	2.6716	2.7038	2.7038
50	3.5091	2.7397	2.7397
51	2.81555	2.70045	2.70045
52	2.6807	2.7603999999999997	2.7603999999999997
53	2.6769	2.6825	2.6825
54	2.8754	2.6862	2.6862
55	2.6595	2.7964	2.7964
56	2.8353	2.8116	2.8116
57	2.6772	2.7098	2.7098
58	0.0	0.0	0.0
59	2.3810000000000002	2.4226	2.4226
60	2.80445	3.3327	3.3327
61	2.6481	2.682	2.682
62	2.6927	2.678	2.678
63	0.0	0.0	0.0
64	0.0	0.0	0.0
65	2.65235	2.7152	2.7152
66	2.9899500000000003	3.08005	3.08005
67	1.9586999999999999	2.22395	2.22395
68	2.8609	2.71575	2.71575
69	2.66495	2.7856	2.7856
70	2.6287	2.70315	2.70315
71	2.7954499999999998	2.7634	2.7634
72	2.6533	2.8253	2.8253
73	2.6974	2.73615	2.73615
74	2.7682	2.7115	2.7115
75	2.7299	2.6734	2.6734
76	2.69245	2.6916	2.6916
77	2.7058	2.7075	2.7075
78	2.80595	2.91965	2.91965
79	2.6433	2.7003500000000003	2.7003500000000003
80	2.6986	2.9011	2.9011
81	0.0	0.0	0.0
82	2.6772	2.6026	2.6026
83	2.812	2.727	2.727
84	2.9546	3.46	3.46
85	2.4543	2.5532	2.5532
86	2.7661499999999997	2.7162	2.7162
87	2.6698	2.7528	2.7528
88	2.7431	3.4176	3.4176
89	2.686	2.7261	2.7261
90	2.843	2.8200000000000003	2.8200000000000003
91	2.7915	2.7675	2.7675
92	2.7217000000000002	2.6955999999999998	2.6955999999999998
93	2.7441	2.87695	2.87695
94	2.6839	2.8362	2.8362
95	2.7479500000000003	2.9473000000000003	2.9473000000000003
96	2.5915	2.6798	2.6798
97	2.9437	2.8463	2.8463
98	2.8414	2.762	2.762
99	2.6191	2.7714499999999997	2.7714499999999997
100	0.0	0.0	0.0
101	2.7069	2.8589	2.8589
102	2.7407	2.90975	2.90975
103	2.5676	2.6711	2.6711
104	2.7798499999999997	2.8738	2.8738
105	2.5918	2.56625	2.56625
106	4.13885	2.87075	2.87075
107	0.0	0.0	0.0
108	2.9671	2.6606500000000004	2.6606500000000004
109	2.6768	2.7539	2.7539
110	3.1361	2.6821	2.6821
111	2.5744	2.30625	2.30625
112	2.8341	2.6535	2.6535
113	2.7382	2.8145	2.8145
114	2.88125	2.7805999999999997	2.7805999999999997
115	2.7919	3.01685	3.01685
116	2.7349	2.5346	2.5346
117	2.6674	2.6865	2.6865
118	2.7635	2.959	2.959
119	2.78595	2.97095	2.97095
120	2.77475	2.6379	2.6379
121	2.7572	2.7294	2.7294
122	2.8533	2.6241	2.6241
123	2.7466	2.8506	2.8506
124	2.8462	2.88865	2.88865
125	2.5353	2.58465	2.58465
126	2.9184	2.8474500000000003	2.8474500000000003
127	0.0	0.0	0.0
128	2.9693	2.9438	2.9438
129	2.6372	2.7747	2.7747
130	2.82085	2.85485	2.85485
131	0.0	0.0	0.0
132	0.0	0.0	0.0
133	2.6752	2.4568	2.4568
134	2.7398	2.6766	2.6766
135	0.0	0.0	0.0
136	2.7763999999999998	2.6423	2.6423
137	2.8591	2.90785	2.90785
138	3.2948	5.6165	5.6165
139	0.0	0.0	0.0
140	3.1976	2.7307	2.7307
141	2.7164	2.7009	2.7009
142	2.5656	2.77735	2.77735
143	2.69175	2.6178	2.6178
144	0.0	2.0018	2.0018
145	2.8311	2.7607	2.7607
146	2.8203500000000004	3.4709	3.4709
147	2.7735	2.8569	2.8569
148	2.5785	0.0	0.0
149	3.0479	2.9827000000000004	2.9827000000000004
150	2.8671499999999996	2.77265	2.77265
151	3.054	2.9827000000000004	2.9827000000000004
152	3.3819	3.3436	3.3436
153	2.719	2.8895	2.8895
154	2.6936	2.6535	2.6535
155	2.66585	2.7172	2.7172
156	2.79455	2.7169	2.7169
157	2.8801	2.7406	2.7406
158	2.78615	2.9265	2.9265
159	2.7465	2.70335	2.70335
160	2.703	2.9804500000000003	2.9804500000000003
161	3.0798	2.7108	2.7108
162	3.0605	2.5425	2.5425
163	3.06625	2.88065	2.88065
164	2.8434	2.82185	2.82185
165	2.782	2.6624	2.6624
166	2.728	2.90205	2.90205
167	2.8342	2.9394	2.9394
168	3.2406	3.2178	3.2178
169	1.9304999999999999	2.17865	2.17865
170	2.6826	2.8048	2.8048
171	2.8211500000000003	3.0340999999999996	3.0340999999999996
