star	x	y
320	742.33	762.98
321	303.24	864.23
322	534.75	848.95
323	248.04	487.95
324	939.98	711.01
325	340.23	229.8
326	778.98	356.31
327	205.36	846.85
328	15.51	202.43
329	844.99	521.37
330	422.24	709.14
331	881.96	291.66
332	399.27	253.92
333	650.01	384.35
334	930.96	127.35
335	60.08	540.49
336	772.03	40.37
337	41.91	488.77
338	661.17	149.19
339	158.35	244.11
340	88.2	576.42
341	42.11	488.75
342	900.23	139.14
343	42.17	488.76
344	244.54	748.34
345	931.57	253.19
346	927.0	959.92
347	415.77	542.05
348	367.33	704.96
349	665.07	626.05
350	900.1	139.24
351	331.48	301.62
352	587.97	315.55
353	394.56	612.51
354	42.09	488.96
355	585.6	829.6
356	643.23	566.12
357	621.5	695.94
358	246.63	885.92
359	878.81	829.13
360	214.97	135.72
361	961.48	901.87
362	350.48	794.53
363	155.61	254.6
364	133.35	388.98
365	315.74	379.57
366	696.59	335.67
367	642.82	944.8
368	616.53	857.43
369	607.44	323.1
370	593.96	66.67
371	213.46	893.87
372	273.33	777.91
373	924.39	300.86
374	966.36	521.15
375	377.05	598.97
376	568.51	924.08
377	156.24	867.28
378	874.17	147.22
379	365.74	453.02
380	568.38	924.04
381	33.18	526.13
382	740.55	911.25
383	769.47	562.82
384	328.6	519.94
385	593.03	472.03
386	873.35	260.23
387	356.04	332.35
388	929.61	796.04
389	93.33	79.7
390	739.53	412.88
391	312.83	937.04
392	385.94	649.65
393	316.05	328.07
394	929.59	796.52
395	789.1	299.69
396	677.53	379.18
397	455.88	104.18
398	335.65	521.52
399	794.09	600.33
400	227.75	377.58
401	957.29	133.05
402	473.09	832.43
403	301.53	336.47
404	313.43	937.38
405	38.07	559.52
406	313.47	937.49
407	482.61	693.62
408	877.4	73.55
409	666.28	518.88
410	105.55	732.96
411	677.54	379.4
412	105.34	733.24
413	797.5	90.61
414	697.05	219.73
415	93.96	79.64
416	207.95	858.33
417	839.07	103.62
418	819.18	939.56
419	47.19	36.48
420	477.05	730.27
421	459.96	170.57
422	819.41	939.46
423	198.12	521.68
424	690.19	56.92
425	929.97	790.47
426	55.25	15.46
427	929.97	790.48
428	833.37	799.82
429	85.49	201.89
430	573.94	189.55
431	47.59	36.52
432	477.04	730.09
433	547.73	23.06
434	476.97	730.38
435	55.55	15.61
436	855.97	276.65
437	571.98	897.49
438	494.56	718.47
439	831.99	182.93
440	754.36	378.91
441	621.21	950.14
442	362.95	562.06
443	605.0	737.63
444	755.03	122.06
445	363.06	561.95
446	694.56	961.3
447	715.38	67.55
448	365.58	43.67
449	232.63	722.4
450	476.89	430.32
451	887.6	235.55
452	951.12	231.26
453	392.56	629.44
454	328.08	599.65
455	310.78	309.23
456	349.43	922.6
457	498.23	872.91
458	64.55	151.11
459	362.82	561.92
460	498.71	872.87
461	757.07	491.1
462	847.99	252.63
463	936.11	199.26
464	926.12	899.77
465	792.03	267.37
466	725.0	491.68
467	478.09	538.31
468	171.32	702.96
469	205.37	981.96
470	791.33	746.98
471	967.02	854.21
472	372.32	201.06
473	42.64	458.02
474	241.49	345.6
475	645.01	927.67
476	847.99	253.06
477	187.42	670.51
478	564.32	554.89
479	417.09	555.54
480	910.11	686.76
481	547.04	619.99
482	583.72	886.95
483	551.25	61.89
484	806.48	910.92
485	645.95	225.33
486	175.81	843.96
487	111.27	924.85
488	106.15	130.93
489	430.48	674.95
490	835.57	170.46
491	687.0	393.93
492	358.08	40.08
493	417.09	555.27
494	111.53	924.93
495	708.7	437.1
496	871.0	181.05
497	273.03	811.94
498	682.17	375.28
499	275.12	933.18
500	505.55	333.12
501	694.76	726.96
502	1010.35	640.96
503	869.51	700.69
504	261.13	277.5
505	719.2	183.26
506	417.08	555.07
507	367.07	969.16
508	597.99	901.48
509	761.69	368.65
510	222.09	221.4
511	816.89	604.47
512	414.56	183.63
513	366.97	969.07
514	545.93	789.69
515	301.44	40.13
516	367.03	968.95
517	719.95	600.45
518	545.86	789.81
519	433.28	514.03
520	440.04	221.02
521	667.31	43.05
522	760.74	525.93
523	981.54	843.64
524	649.9	750.19
525	965.95	131.02
526	145.56	165.1
527	481.32	821.92
528	370.01	281.3
529	898.3	586.07
530	265.37	70.06
531	649.71	749.98
532	591.43	598.98
533	236.59	286.64
534	649.59	749.98
535	565.87	105.51
536	935.96	43.08
537	590.56	981.35
538	118.37	814.83
539	199.61	163.6
540	233.06	476.94
541	521.99	394.05
542	921.98	133.97
543	270.11	767.64
544	706.53	93.59
545	622.54	847.47
546	199.3	163.82
547	450.08	420.01
548	818.27	739.05
549	481.29	822.14
550	302.47	469.59
551	481.12	822.27
552	616.43	933.09
553	59.01	264.53
554	481.1	822.4
555	297.54	319.58
556	761.44	368.44
557	964.72	913.84
558	507.59	426.15
559	341.08	291.04
560	302.44	469.48
561	285.71	12.63
562	885.96	740.9
563	189.47	698.96
564	52.09	797.17
565	613.72	688.01
566	52.09	797.17
567	733.96	546.49
568	990.94	98.13
569	669.2	653.24
570	227.05	455.03
571	399.1	984.39
572	733.9	546.57
573	759.54	333.43
574	776.68	695.0
575	656.31	462.0
576	506.57	824.31
577	226.74	455.04
578	304.81	474.54
579	188.71	539.55
580	424.56	574.48
581	848.74	416.14
582	690.96	280.1
583	783.06	597.05
584	219.09	517.44
585	198.28	715.14
586	702.44	348.46
587	506.67	824.08
588	40.19	612.42
589	91.27	763.28
590	319.73	957.93
591	559.98	99.06
592	237.64	658.01
593	260.47	219.95
594	273.89	1009.99
595	971.66	731.98
596	508.05	764.65
597	909.5	797.33
598	641.66	215.07
599	471.82	616.69
600	220.72	587.95
601	960.61	316.52
602	158.36	782.87
603	111.79	584.93
604	750.26	542.05
605	304.94	474.79
606	589.55	399.56
607	948.31	935.98
608	609.07	135.61
